pedido_id,data_pedido,data_entrega,transportadora,cidade_origem,cidade_destino,prazo_estimado_dias,prazo_real_dias,custo_transporte,status_entrega
65934,25/12/2024,01/01/2025,Loggi,Salvador,Moreira de Fogaça,7,7,23.01,Entregue
9247,22/04/2024,03/05/2024,Correios,Recife,da Luz,8,11,122.87,Entregue
48945,21/10/2024,26/10/2024,Jadlog,Salvador,Mendes,5,5,142.22,Entregue
20687,25/08/2024,27/08/2024,Azul Cargo,São Paulo,Correia dos Dourados,2,2,136.2,Entregue
32374,17/09/2024,27/09/2024,Azul Cargo,Belo Horizonte,da Costa Verde,8,10,174.09,Entregue
44211,09/12/2024,13/12/2024,Azul Cargo,Belo Horizonte,Dias,3,4,287.03,Entregue
25772,24/04/2024,02/05/2024,Jadlog,São Paulo,Ribeiro,9,8,219.88,Entregue
37776,04/03/2024,06/03/2024,Loggi,Curitiba,Dias de Minas,3,2,278.34,Entregue
2864,02/07/2024,05/07/2024,Azul Cargo,São Paulo,Nascimento da Prata,4,3,109.49,Entregue
31488,03/01/2024,10/01/2024,Jadlog,São Paulo,Lima,7,7,41.85,Entregue
26006,26/05/2024,05/06/2024,Jadlog,Salvador,Monteiro dos Dourados,7,10,155.19,Entregue
47945,10/12/2024,18/12/2024,Loggi,São Paulo,Rezende do Sul,5,8,64.59,Entregue
40096,02/10/2024,08/10/2024,Loggi,São Paulo,Moraes,3,6,146.34,Entregue
52211,21/08/2024,28/08/2024,Correios,Curitiba,Costa,4,7,11.52,Entregue
7830,12/07/2024,24/07/2024,Jadlog,Curitiba,Dias,9,12,106.0,Entregue
21655,18/04/2024,29/04/2024,Loggi,Curitiba,Vieira do Amparo,10,11,132.85,Em trânsito
44935,02/12/2024,05/12/2024,Azul Cargo,São Paulo,Moreira do Sul,2,3,183.49,Entregue
67373,20/02/2024,01/03/2024,Azul Cargo,São Paulo,Costela,10,10,32.24,Entregue
38229,16/06/2024,25/06/2024,Azul Cargo,Salvador,Santos,8,9,287.06,Entregue
67380,05/02/2024,07/02/2024,Azul Cargo,São Paulo,Aragão,2,2,52.21,Entregue
64928,07/11/2024,13/11/2024,Loggi,Belo Horizonte,Gomes,3,6,200.4,Entregue
17632,17/10/2024,24/10/2024,Loggi,Salvador,Pires de Moura,8,7,190.93,Entregue
61443,16/02/2024,24/02/2024,Jadlog,Recife,Carvalho,9,8,139.88,Entregue
48842,17/03/2024,25/03/2024,Loggi,Salvador,Pinto,9,8,260.17,Entregue
24984,15/04/2024,16/04/2024,Loggi,São Paulo,Aragão,2,1,162.75,Entregue
57510,08/11/2024,17/11/2024,Jadlog,Salvador,Cardoso,10,9,83.48,Entregue
46585,19/05/2024,24/05/2024,Loggi,São Paulo,Jesus dos Dourados,5,5,125.74,Entregue
42384,27/12/2024,03/01/2025,Loggi,São Paulo,Viana,7,7,120.06,Entregue
53094,21/07/2024,26/07/2024,Loggi,Recife,da Rocha do Sul,4,5,102.26,Em trânsito
33268,20/09/2024,22/09/2024,Correios,Belo Horizonte,Gonçalves,2,2,278.14,Em trânsito
7607,16/04/2024,20/04/2024,Correios,Salvador,Costela da Mata,5,4,181.5,Entregue
40916,04/01/2024,14/01/2024,Jadlog,Belo Horizonte,Rezende,9,10,37.16,Entregue
1222,15/01/2024,18/01/2024,Loggi,São Paulo,Duarte,3,3,248.52,Entregue
47842,22/05/2024,30/05/2024,Azul Cargo,São Paulo,Moura da Mata,5,8,76.85,Entregue
48991,28/12/2024,01/01/2025,Correios,Curitiba,Campos do Norte,4,4,199.47,Entregue
16462,20/04/2024,30/04/2024,Azul Cargo,São Paulo,Teixeira,9,10,221.93,Entregue
67516,01/11/2024,08/11/2024,Jadlog,São Paulo,Pinto,7,7,297.22,Entregue
57879,25/10/2024,03/11/2024,Jadlog,Salvador,Barbosa,10,9,222.68,Entregue
56126,04/08/2024,08/08/2024,Jadlog,Recife,Campos,2,4,207.85,Entregue
5658,16/11/2024,22/11/2024,Jadlog,Curitiba,Aragão,4,6,87.67,Entregue
31050,18/11/2024,01/12/2024,Loggi,Belo Horizonte,da Mata,10,13,282.63,Entregue
16538,08/09/2024,16/09/2024,Jadlog,Belo Horizonte,Gomes,7,8,184.61,Em trânsito
50406,10/12/2024,20/12/2024,Azul Cargo,Salvador,Vieira,9,10,252.05,Entregue
19544,15/02/2024,21/02/2024,Jadlog,Curitiba,Farias do Galho,7,6,262.94,Entregue
43508,07/07/2024,09/07/2024,Jadlog,Curitiba,Pinto,3,2,154.53,Entregue
57317,22/02/2024,24/02/2024,Azul Cargo,São Paulo,da Cunha,3,2,173.04,Entregue
51019,14/02/2024,15/02/2024,Jadlog,Salvador,Azevedo das Flores,2,1,53.76,Entregue
18274,15/03/2024,23/03/2024,Loggi,Salvador,Farias,5,8,250.52,Entregue
23755,20/03/2024,29/03/2024,Jadlog,Salvador,Nunes do Campo,7,9,71.37,Entregue
4089,01/05/2024,11/05/2024,Correios,Recife,Costela,9,10,203.3,Entregue
5861,01/01/2024,10/01/2024,Azul Cargo,São Paulo,Moura,6,9,232.63,Entregue
33660,25/11/2024,07/12/2024,Azul Cargo,Salvador,da Rocha,9,12,97.88,Entregue
41907,16/09/2024,26/09/2024,Azul Cargo,Recife,Moraes da Prata,7,10,222.7,Em trânsito
59393,13/11/2024,18/11/2024,Azul Cargo,São Paulo,Moraes,3,5,130.03,Em trânsito
35829,22/11/2024,03/12/2024,Jadlog,Curitiba,Duarte,10,11,47.75,Entregue
16101,22/05/2024,27/05/2024,Loggi,Curitiba,Costela,4,5,263.22,Entregue
16932,17/12/2024,23/12/2024,Jadlog,Recife,Ferreira,3,6,145.2,Entregue
38605,20/02/2024,02/03/2024,Loggi,Belo Horizonte,Ribeiro de Fogaça,10,11,112.11,Entregue
10086,09/01/2024,17/01/2024,Jadlog,Curitiba,Correia,5,8,77.17,Entregue
11467,13/12/2024,20/12/2024,Jadlog,Curitiba,Souza,5,7,12.47,Entregue
3703,12/08/2024,17/08/2024,Loggi,Curitiba,da Rocha,6,5,244.98,Entregue
21440,16/08/2024,25/08/2024,Jadlog,Curitiba,Moreira,6,9,111.09,Entregue
44026,12/08/2024,18/08/2024,Azul Cargo,São Paulo,Vieira,3,6,217.99,Devolvido
44104,12/10/2024,17/10/2024,Loggi,Curitiba,Novaes de Ribeiro,4,5,101.0,Em trânsito
65289,13/08/2024,24/08/2024,Correios,Belo Horizonte,Cardoso dos Dourados,9,11,69.33,Entregue
41749,05/11/2024,06/11/2024,Jadlog,Belo Horizonte,Cardoso,2,1,271.85,Entregue
11836,28/01/2024,01/02/2024,Loggi,Salvador,Araújo Verde,2,4,168.05,Entregue
63765,13/02/2024,18/02/2024,Azul Cargo,Salvador,Teixeira,4,5,260.0,Em trânsito
25163,14/08/2024,25/08/2024,Azul Cargo,Salvador,Cardoso de Pires,10,11,12.19,Entregue
42978,15/01/2024,26/01/2024,Azul Cargo,São Paulo,das Neves,10,11,15.48,Entregue
29235,27/04/2024,07/05/2024,Correios,Salvador,Correia do Galho,8,10,184.98,Entregue
29910,14/10/2024,26/10/2024,Loggi,Belo Horizonte,Castro de Goiás,9,12,58.21,Entregue
11879,02/04/2024,07/04/2024,Loggi,Belo Horizonte,Monteiro,5,5,37.67,Entregue
9127,26/09/2024,05/10/2024,Azul Cargo,Salvador,Dias,8,9,122.93,Entregue
1837,05/07/2024,14/07/2024,Jadlog,Belo Horizonte,Melo,10,9,280.01,Entregue
6940,16/08/2024,26/08/2024,Jadlog,São Paulo,da Mata,7,10,105.2,Entregue
27114,25/01/2024,01/02/2024,Correios,Salvador,Fernandes de Mendes,5,7,57.83,Entregue
62420,03/01/2024,16/01/2024,Loggi,Curitiba,Silva de Minas,10,13,297.62,Entregue
20276,14/10/2024,23/10/2024,Loggi,Salvador,Farias do Galho,10,9,177.36,Entregue
23848,09/09/2024,16/09/2024,Correios,São Paulo,Azevedo,4,7,129.02,Entregue
54652,19/03/2024,24/03/2024,Jadlog,Belo Horizonte,Almeida Paulista,2,5,261.11,Entregue
56406,19/02/2024,25/02/2024,Correios,São Paulo,Costa,5,6,144.24,Entregue
17502,09/02/2024,15/02/2024,Correios,Curitiba,da Paz de Teixeira,6,6,254.97,Entregue
6226,24/05/2024,04/06/2024,Jadlog,Belo Horizonte,da Conceição de Mendes,9,11,11.99,Entregue
46426,16/07/2024,22/07/2024,Azul Cargo,São Paulo,Fernandes de Santos,4,6,253.71,Entregue
18764,23/04/2024,29/04/2024,Correios,Curitiba,Alves,7,6,195.29,Entregue
7845,26/08/2024,28/08/2024,Correios,Belo Horizonte,Almeida do Amparo,2,2,293.06,Em trânsito
43913,21/06/2024,28/06/2024,Azul Cargo,São Paulo,Viana,5,7,279.66,Em trânsito
64025,17/08/2024,19/08/2024,Loggi,São Paulo,Gomes,2,2,46.57,Entregue
49989,27/10/2024,29/10/2024,Correios,São Paulo,Lopes,3,2,293.17,Entregue
8421,26/05/2024,28/05/2024,Azul Cargo,São Paulo,da Rocha Paulista,2,2,262.03,Entregue
51074,04/05/2024,16/05/2024,Loggi,Salvador,Pires da Prata,10,12,256.11,Entregue
35432,24/02/2024,25/02/2024,Correios,Salvador,Barbosa,2,1,190.5,Entregue
34824,03/02/2024,10/02/2024,Jadlog,Salvador,Novaes,5,7,38.99,Entregue
10325,14/07/2024,23/07/2024,Loggi,Salvador,Rodrigues de Cavalcanti,6,9,173.92,Entregue
17713,04/03/2024,13/03/2024,Correios,Curitiba,Santos Grande,9,9,140.57,Devolvido
42118,23/08/2024,01/09/2024,Loggi,São Paulo,Mendes,9,9,182.81,Entregue
14805,21/08/2024,25/08/2024,Azul Cargo,Curitiba,Caldeira,5,4,90.01,Entregue
67400,14/04/2024,26/04/2024,Azul Cargo,Belo Horizonte,Castro do Norte,10,12,15.66,Entregue
52689,24/03/2024,03/04/2024,Correios,São Paulo,Sales de Fogaça,10,10,58.13,Entregue
25697,28/11/2024,01/12/2024,Loggi,Recife,da Mota,3,3,288.19,Entregue
47684,17/07/2024,23/07/2024,Loggi,Recife,Santos de da Conceição,7,6,47.01,Em trânsito
11568,02/06/2024,09/06/2024,Azul Cargo,São Paulo,Almeida Paulista,7,7,97.06,Entregue
63768,17/02/2024,20/02/2024,Loggi,Recife,Teixeira da Prata,3,3,185.27,Entregue
57338,20/03/2024,26/03/2024,Loggi,São Paulo,Martins,7,6,147.43,Entregue
42065,28/06/2024,11/07/2024,Correios,Belo Horizonte,Oliveira das Pedras,10,13,291.9,Entregue
63018,17/06/2024,21/06/2024,Jadlog,Recife,da Mata do Oeste,2,4,151.82,Entregue
63109,04/10/2024,11/10/2024,Jadlog,Recife,Nogueira do Oeste,8,7,21.19,Entregue
56936,28/01/2024,01/02/2024,Correios,Curitiba,Barbosa,4,4,115.41,Entregue
30408,18/02/2024,25/02/2024,Azul Cargo,Belo Horizonte,Azevedo do Galho,8,7,204.69,Entregue
42525,23/04/2024,28/04/2024,Jadlog,Salvador,Barbosa do Amparo,5,5,260.7,Entregue
6528,17/12/2024,27/12/2024,Azul Cargo,Salvador,Gomes da Mata,7,10,236.81,Entregue
17386,28/07/2024,06/08/2024,Jadlog,Salvador,Melo,6,9,214.92,Entregue
10594,11/12/2024,13/12/2024,Loggi,São Paulo,Duarte de Santos,3,2,295.03,Entregue
61190,24/12/2024,06/01/2025,Azul Cargo,Salvador,Santos,10,13,99.51,Entregue
19082,05/03/2024,15/03/2024,Correios,Belo Horizonte,Martins,9,10,130.99,Entregue
14849,13/10/2024,22/10/2024,Jadlog,Recife,da Rosa,8,9,194.75,Entregue
27287,01/05/2024,03/05/2024,Loggi,São Paulo,Barros de Moura,3,2,291.79,Entregue
10747,15/09/2024,18/09/2024,Correios,São Paulo,Mendes,4,3,166.33,Entregue
10596,07/12/2024,14/12/2024,Correios,Recife,Alves do Amparo,8,7,251.96,Entregue
14555,28/08/2024,30/08/2024,Loggi,São Paulo,Ferreira,3,2,289.2,Em trânsito
6426,11/09/2024,19/09/2024,Azul Cargo,Salvador,Jesus,9,8,267.32,Entregue
47360,09/09/2024,17/09/2024,Azul Cargo,Salvador,Nascimento,8,8,35.0,Entregue
8365,02/02/2024,08/02/2024,Jadlog,São Paulo,Teixeira,5,6,227.83,Entregue
64225,14/12/2024,24/12/2024,Azul Cargo,Belo Horizonte,da Luz,7,10,101.12,Entregue
17300,06/01/2024,10/01/2024,Jadlog,São Paulo,Fernandes,2,4,154.64,Entregue
22610,06/07/2024,09/07/2024,Jadlog,Salvador,Lopes de da Cunha,2,3,23.98,Entregue
5563,24/06/2024,04/07/2024,Loggi,Recife,Moraes,7,10,138.36,Entregue
34341,04/06/2024,07/06/2024,Jadlog,Curitiba,Jesus Paulista,4,3,93.45,Entregue
38474,23/06/2024,29/06/2024,Jadlog,Salvador,Cardoso de Caldeira,6,6,278.75,Entregue
2516,12/07/2024,18/07/2024,Loggi,Belo Horizonte,Lopes,4,6,34.39,Entregue
125,25/04/2024,03/05/2024,Loggi,São Paulo,Oliveira do Norte,8,8,262.56,Entregue
36890,03/11/2024,13/11/2024,Jadlog,Curitiba,Ramos,8,10,248.47,Entregue
29508,08/11/2024,20/11/2024,Loggi,Salvador,Cunha,9,12,256.58,Em trânsito
15950,12/08/2024,16/08/2024,Loggi,São Paulo,Lima,4,4,129.95,Entregue
23838,26/09/2024,30/09/2024,Correios,São Paulo,Nascimento de Goiás,4,4,276.24,Entregue
5538,09/05/2024,20/05/2024,Correios,Recife,Caldeira,8,11,123.5,Em trânsito
41558,26/11/2024,03/12/2024,Loggi,Belo Horizonte,Silveira,8,7,44.35,Entregue
17234,16/09/2024,21/09/2024,Loggi,Curitiba,Freitas de Rezende,3,5,155.45,Entregue
5789,11/08/2024,20/08/2024,Azul Cargo,Belo Horizonte,Pires,8,9,216.44,Entregue
10343,11/08/2024,21/08/2024,Correios,Curitiba,Mendes,8,10,85.8,Entregue
43644,06/11/2024,11/11/2024,Azul Cargo,Recife,Cardoso de da Mota,6,5,287.26,Entregue
39534,12/02/2024,17/02/2024,Azul Cargo,São Paulo,Costa,4,5,191.88,Entregue
12678,26/05/2024,03/06/2024,Jadlog,São Paulo,Costela,8,8,13.56,Entregue
13020,06/06/2024,14/06/2024,Jadlog,São Paulo,Santos de da Conceição,7,8,144.36,Entregue
17238,03/09/2024,14/09/2024,Azul Cargo,Salvador,Viana,9,11,229.31,Entregue
63188,19/03/2024,23/03/2024,Azul Cargo,Salvador,Farias,2,4,123.64,Entregue
10566,10/11/2024,20/11/2024,Loggi,São Paulo,Lima do Campo,8,10,184.65,Entregue
18141,21/07/2024,28/07/2024,Correios,Belo Horizonte,da Rosa,7,7,67.75,Entregue
2529,16/08/2024,25/08/2024,Loggi,Belo Horizonte,Monteiro,9,9,78.23,Entregue
58696,10/08/2024,18/08/2024,Loggi,Salvador,Gonçalves,5,8,112.91,Entregue
43052,24/06/2024,07/07/2024,Jadlog,Belo Horizonte,Alves de Vieira,10,13,193.82,Entregue
44884,20/09/2024,28/09/2024,Loggi,Recife,Lopes do Campo,5,8,185.0,Entregue
58330,06/05/2024,13/05/2024,Jadlog,Salvador,Sales,6,7,203.56,Entregue
28051,25/01/2024,02/02/2024,Azul Cargo,Salvador,Moura,5,8,270.07,Entregue
46611,04/06/2024,13/06/2024,Azul Cargo,Salvador,Ribeiro,6,9,172.63,Em trânsito
31624,26/06/2024,07/07/2024,Correios,Curitiba,Pereira,8,11,145.44,Em trânsito
27841,03/12/2024,16/12/2024,Loggi,Curitiba,Alves do Galho,10,13,236.05,Entregue
59093,16/04/2024,25/04/2024,Jadlog,Belo Horizonte,Monteiro da Prata,6,9,117.05,Entregue
56614,06/05/2024,18/05/2024,Azul Cargo,Recife,Carvalho Grande,10,12,250.83,Entregue
60542,03/07/2024,08/07/2024,Loggi,Recife,Cardoso dos Dourados,2,5,59.04,Entregue
11681,05/03/2024,16/03/2024,Jadlog,Belo Horizonte,Porto,8,11,246.42,Entregue
25171,28/09/2024,05/10/2024,Loggi,Belo Horizonte,Vieira,6,7,125.83,Entregue
20469,25/06/2024,06/07/2024,Correios,Belo Horizonte,Fogaça,10,11,273.04,Entregue
54638,06/02/2024,12/02/2024,Jadlog,Recife,da Rosa,5,6,94.86,Entregue
42986,19/02/2024,24/02/2024,Loggi,Recife,da Conceição Verde,3,5,50.23,Entregue
63024,02/06/2024,08/06/2024,Correios,Belo Horizonte,da Mata de Rodrigues,6,6,33.07,Entregue
9521,19/11/2024,01/12/2024,Loggi,Salvador,Pinto,10,12,112.95,Entregue
6702,22/07/2024,02/08/2024,Jadlog,São Paulo,Moreira,8,11,33.05,Entregue
8417,03/05/2024,09/05/2024,Jadlog,Curitiba,Barbosa,6,6,267.16,Entregue
35631,26/07/2024,29/07/2024,Correios,Curitiba,Ramos de Fernandes,2,3,176.55,Entregue
54631,18/02/2024,26/02/2024,Azul Cargo,Belo Horizonte,Moreira do Sul,9,8,36.27,Entregue
51804,01/06/2024,05/06/2024,Jadlog,São Paulo,da Rocha,5,4,166.84,Entregue
9721,20/01/2024,24/01/2024,Jadlog,Belo Horizonte,Nascimento dos Dourados,3,4,190.25,Entregue
32233,09/12/2024,17/12/2024,Correios,Belo Horizonte,Moreira do Norte,6,8,128.4,Entregue
58705,20/08/2024,29/08/2024,Correios,Curitiba,Mendes,9,9,259.36,Entregue
40934,05/02/2024,16/02/2024,Azul Cargo,São Paulo,Melo do Galho,10,11,46.99,Entregue
1166,01/10/2024,11/10/2024,Jadlog,Curitiba,Ribeiro,7,10,181.11,Entregue
41797,12/02/2024,21/02/2024,Loggi,Salvador,Porto de Goiás,9,9,258.4,Em trânsito
33883,25/11/2024,29/11/2024,Azul Cargo,Recife,Fogaça da Serra,3,4,176.46,Entregue
24994,18/04/2024,20/04/2024,Correios,Belo Horizonte,Campos,3,2,289.9,Entregue
25901,23/11/2024,06/12/2024,Jadlog,Belo Horizonte,Martins,10,13,14.35,Entregue
12336,15/10/2024,19/10/2024,Azul Cargo,Recife,Carvalho,2,4,152.0,Entregue
63000,07/05/2024,12/05/2024,Correios,São Paulo,Araújo,5,5,203.21,Entregue
11792,26/10/2024,05/11/2024,Jadlog,Belo Horizonte,Fernandes do Galho,7,10,65.48,Entregue
5346,09/10/2024,19/10/2024,Jadlog,Salvador,Fernandes das Flores,7,10,101.34,Entregue
25253,10/10/2024,15/10/2024,Loggi,Belo Horizonte,Santos,3,5,179.6,Entregue
58627,02/06/2024,15/06/2024,Correios,Salvador,Oliveira do Galho,10,13,299.67,Entregue
19849,22/10/2024,25/10/2024,Loggi,Salvador,da Costa de Cardoso,3,3,26.61,Entregue
31268,10/10/2024,18/10/2024,Azul Cargo,Curitiba,Cunha,7,8,282.12,Entregue
31342,23/04/2024,28/04/2024,Loggi,Salvador,Caldeira de Minas,2,5,247.72,Entregue
14515,18/05/2024,23/05/2024,Loggi,Belo Horizonte,Lopes,4,5,26.64,Entregue
25627,25/09/2024,03/10/2024,Jadlog,Recife,da Luz,9,8,158.66,Entregue
38146,18/03/2024,28/03/2024,Correios,Curitiba,Duarte,10,10,106.87,Entregue
12409,05/02/2024,12/02/2024,Azul Cargo,Curitiba,Almeida do Amparo,5,7,273.78,Entregue
48798,05/12/2024,11/12/2024,Loggi,Salvador,Moura do Campo,3,6,197.92,Entregue
44423,21/03/2024,27/03/2024,Correios,Salvador,da Costa,6,6,137.04,Entregue
25637,13/09/2024,20/09/2024,Correios,Belo Horizonte,da Luz Grande,8,7,210.12,Entregue
10689,14/06/2024,21/06/2024,Jadlog,Belo Horizonte,Nogueira do Campo,6,7,225.44,Entregue
22791,01/08/2024,09/08/2024,Jadlog,Curitiba,Cardoso do Campo,6,8,259.33,Entregue
5967,27/07/2024,09/08/2024,Correios,Recife,Ferreira,10,13,216.88,Em trânsito
34937,18/11/2024,26/11/2024,Jadlog,Recife,da Luz de Peixoto,7,8,60.43,Entregue
11917,19/06/2024,24/06/2024,Jadlog,São Paulo,da Rocha Paulista,5,5,40.94,Entregue
59972,14/04/2024,19/04/2024,Loggi,São Paulo,Cavalcanti da Praia,4,5,68.01,Entregue
21271,20/05/2024,24/05/2024,Jadlog,Belo Horizonte,Aragão,5,4,10.03,Em trânsito
39653,13/10/2024,14/10/2024,Jadlog,Salvador,Lopes,2,1,257.27,Devolvido
40416,18/02/2024,29/02/2024,Correios,Curitiba,Fogaça do Galho,10,11,38.3,Entregue
58489,24/02/2024,27/02/2024,Correios,Curitiba,Ferreira de Duarte,2,3,109.15,Entregue
15014,02/08/2024,09/08/2024,Loggi,Curitiba,Campos do Norte,8,7,105.6,Entregue
50960,25/10/2024,31/10/2024,Loggi,Belo Horizonte,da Conceição,6,6,172.02,Entregue
38483,16/07/2024,18/07/2024,Correios,Salvador,Melo da Praia,2,2,106.9,Entregue
54571,07/11/2024,08/11/2024,Azul Cargo,Belo Horizonte,das Neves,2,1,168.11,Entregue
41297,13/05/2024,21/05/2024,Correios,Curitiba,Rodrigues Verde,5,8,288.51,Em trânsito
89,12/03/2024,23/03/2024,Jadlog,Curitiba,Monteiro do Sul,9,11,106.79,Entregue
62464,16/02/2024,27/02/2024,Azul Cargo,Salvador,Santos,10,11,288.65,Entregue
67065,02/06/2024,11/06/2024,Loggi,Recife,Moura,6,9,78.7,Em trânsito
