venda_id;data_venda;produto_id;loja_id;cliente_id;quantidade_vendida;valor_unitario;valor_total;forma_pagamento;canal_venda
112;06/03/2024;1;3;207;1;97.38;97.38;Cartão;Loja Física
113;21/03/2024;1;1;736;4;94.14;376.56;Cartão;E-commerce
114;21/03/2024;1;3;725;1;86.55;86.55;Pix;E-commerce
115;06/03/2024;1;2;45;1;94.9;94.9;Dinheiro;E-commerce
116;22/03/2024;1;1;149;3;82.1;246.3;Pix;Loja Física
117;10/03/2024;1;2;296;2;91.82;183.64;Cartão;Loja Física
118;07/03/2024;1;2;13;1;88.17;88.17;Pix;E-commerce
119;20/04/2024;1;1;223;3;91.0;273.0;Cartão;Loja Física
120;03/04/2024;1;1;251;2;97.38;194.76;Cartão;E-commerce
121;27/04/2024;1;1;190;3;81.43;244.29;Pix;Loja Física
122;28/04/2024;1;3;618;1;84.69;84.69;Dinheiro;Loja Física
123;14/04/2024;1;1;689;5;84.39;421.95;Pix;E-commerce
124;19/04/2024;1;1;467;2;94.49;188.98;Cartão;Loja Física
125;25/04/2024;1;2;389;1;96.03;96.03;Pix;E-commerce
126;03/04/2024;1;1;125;1;93.3;93.3;Cartão;E-commerce
127;17/04/2024;1;1;627;1;79.47;79.47;Cartão;Telefone
128;17/04/2024;1;2;742;5;93.17;465.85;Dinheiro;Telefone
129;10/04/2024;1;2;266;1;89.62;89.62;Dinheiro;Loja Física
130;05/04/2024;1;2;533;2;94.05;188.1;Cartão;E-commerce
131;20/04/2024;1;2;199;1;78.24;78.24;Cartão;E-commerce
132;04/04/2024;1;1;631;2;99.91;199.82;Cartão;Loja Física
133;18/04/2024;1;1;12;3;92.13;276.39;Pix;Loja Física
134;03/04/2024;1;3;564;1;85.25;85.25;Cartão;E-commerce
135;11/04/2024;1;3;631;1;99.07;99.07;Pix;Loja Física
136;27/04/2024;1;3;491;1;98.11;98.11;Pix;E-commerce
137;16/04/2024;1;2;550;1;97.67;97.67;Cartão;E-commerce
138;24/04/2024;1;3;307;1;90.48;90.48;Pix;E-commerce
139;01/04/2024;1;3;340;1;95.58;95.58;Pix;Loja Física
140;05/04/2024;1;1;348;1;99.58;99.58;Boleto;E-commerce
141;19/04/2024;1;1;610;2;80.75;161.5;Pix;Loja Física
142;28/04/2024;1;1;279;1;87.2;87.2;Cartão;Loja Física
143;15/04/2024;1;2;222;3;89.62;268.86;Cartão;Loja Física
144;02/04/2024;1;1;455;2;89.2;178.4;Pix;Telefone
145;05/04/2024;1;2;751;1;97.2;97.2;Cartão;Loja Física
146;25/04/2024;1;3;693;3;99.78;299.34;Cartão;Loja Física
147;13/04/2024;1;3;119;2;78.3;156.6;Dinheiro;E-commerce
148;20/04/2024;1;2;479;3;97.53;292.59;Cartão;E-commerce
149;24/04/2024;1;3;777;1;84.99;84.99;Pix;Loja Física
150;07/04/2024;1;3;327;1;95.0;95.0;Pix;Loja Física
151;06/04/2024;1;1;638;1;90.37;90.37;Cartão;E-commerce
152;18/04/2024;1;1;722;1;95.68;95.68;Cartão;Loja Física
153;10/04/2024;1;2;554;2;87.85;175.7;Cartão;Loja Física
154;04/05/2024;1;1;437;1;86.72;86.72;Pix;E-commerce
155;21/05/2024;1;3;457;3;91.6;274.8;Cartão;E-commerce
156;23/05/2024;1;3;81;2;99.36;198.72;Pix;Loja Física
157;05/05/2024;1;3;480;1;80.32;80.32;Cartão;E-commerce
158;25/05/2024;1;1;230;1;81.33;81.33;Pix;Loja Física
159;12/05/2024;1;3;682;1;85.39;85.39;Pix;Loja Física
160;16/05/2024;1;2;116;1;85.85;85.85;Cartão;Loja Física
161;25/05/2024;1;3;131;1;89.25;89.25;Cartão;E-commerce
162;04/05/2024;1;3;73;1;95.43;95.43;Cartão;Loja Física
163;14/05/2024;1;1;562;1;81.66;81.66;Cartão;Loja Física
164;07/05/2024;1;3;442;3;95.25;285.75;Cartão;E-commerce
165;18/05/2024;1;1;679;2;92.76;185.52;Pix;E-commerce
166;27/05/2024;1;3;611;1;88.27;88.27;Cartão;E-commerce
167;06/05/2024;1;2;72;1;91.21;91.21;Pix;E-commerce
168;27/05/2024;1;2;661;1;92.55;92.55;Cartão;E-commerce
169;19/05/2024;1;3;1;4;94.66;378.64;Pix;Loja Física
170;10/05/2024;1;3;458;1;82.46;82.46;Pix;Loja Física
171;19/05/2024;1;3;312;2;98.16;196.32;Dinheiro;E-commerce
172;12/05/2024;1;3;9;5;91.49;457.45;Cartão;E-commerce
173;28/05/2024;1;2;563;1;99.24;99.24;Cartão;E-commerce
174;12/05/2024;1;2;32;1;83.32;83.32;Pix;Loja Física
175;11/05/2024;1;2;391;2;87.66;175.32;Cartão;Loja Física
176;05/05/2024;1;2;369;1;96.46;96.46;Cartão;Telefone
177;22/05/2024;1;1;74;1;92.3;92.3;Cartão;E-commerce
178;22/05/2024;1;1;87;1;81.19;81.19;Pix;E-commerce
179;26/05/2024;1;2;639;2;82.12;164.24;Cartão;E-commerce
180;15/05/2024;1;1;191;1;87.44;87.44;Cartão;Loja Física
181;24/05/2024;1;3;276;1;87.14;87.14;Cartão;Loja Física
182;02/05/2024;1;3;378;1;80.67;80.67;Cartão;E-commerce
183;05/05/2024;1;3;769;2;95.13;190.26;Cartão;Loja Física
184;20/05/2024;1;2;646;1;94.32;94.32;Dinheiro;Loja Física
185;21/05/2024;1;3;320;1;91.53;91.53;Dinheiro;E-commerce
186;01/05/2024;1;3;481;1;90.68;90.68;Cartão;Loja Física
187;26/05/2024;1;1;37;1;93.31;93.31;Cartão;Loja Física
188;26/05/2024;1;1;645;1;88.49;88.49;Cartão;Loja Física
189;10/05/2024;1;3;28;3;84.44;253.32;Cartão;E-commerce
190;09/06/2024;1;2;282;1;96.85;96.85;Cartão;Loja Física
191;06/06/2024;1;3;155;4;92.53;370.12;Cartão;Loja Física
192;26/06/2024;1;2;186;2;95.58;191.16;Pix;Loja Física
193;03/06/2024;1;3;158;5;96.41;482.05;Pix;Loja Física
194;13/06/2024;1;2;744;1;92.06;92.06;Cartão;E-commerce
195;12/06/2024;1;2;774;1;96.01;96.01;Cartão;Loja Física
196;16/06/2024;1;3;771;1;98.25;98.25;Cartão;E-commerce
197;13/06/2024;1;1;544;1;97.12;97.12;Cartão;Telefone
198;15/06/2024;1;2;543;1;93.05;93.05;Cartão;Telefone
199;21/06/2024;1;2;626;1;98.15;98.15;Pix;Loja Física
200;09/06/2024;1;2;671;3;90.9;272.7;Cartão;E-commerce
201;08/06/2024;1;3;789;2;82.44;164.88;Cartão;E-commerce
202;06/06/2024;1;1;689;1;78.39;78.39;Cartão;Loja Física
203;17/06/2024;1;2;360;1;82.98;82.98;Cartão;Loja Física
204;01/06/2024;1;1;609;2;92.47;184.94;Pix;Telefone
205;21/06/2024;1;1;89;1;96.82;96.82;Cartão;E-commerce
206;21/06/2024;1;1;114;1;93.32;93.32;Cartão;Loja Física
207;03/06/2024;1;2;788;2;87.49;174.98;Dinheiro;E-commerce
208;11/06/2024;1;1;284;1;95.09;95.09;Cartão;Loja Física
209;02/06/2024;1;2;183;1;87.78;87.78;Cartão;Telefone
210;20/06/2024;1;3;504;1;80.57;80.57;Cartão;Loja Física
211;20/06/2024;1;2;733;2;83.84;167.68;Cartão;Loja Física
212;24/06/2024;1;2;20;1;97.69;97.69;Cartão;E-commerce
213;02/06/2024;1;2;156;2;93.42;186.84;Dinheiro;E-commerce
214;17/06/2024;1;2;490;2;87.68;175.36;Pix;E-commerce
215;26/06/2024;1;1;4;1;86.56;86.56;Pix;E-commerce
216;04/06/2024;1;2;342;1;93.02;93.02;Cartão;E-commerce
217;21/06/2024;1;3;349;1;79.96;79.96;Cartão;E-commerce
218;21/06/2024;1;3;41;1;99.23;99.23;Pix;Loja Física
219;13/06/2024;1;3;706;3;86.01;258.03;Cartão;E-commerce
220;24/06/2024;1;1;198;1;78.76;78.76;Dinheiro;Loja Física
221;13/06/2024;1;3;659;1;84.9;84.9;Cartão;E-commerce
222;15/06/2024;1;1;38;5;85.58;427.9;Cartão;E-commerce
223;13/06/2024;1;3;684;1;89.57;89.57;Dinheiro;E-commerce
224;18/06/2024;1;3;239;1;98.3;98.3;Cartão;Loja Física
225;21/06/2024;1;3;47;1;83.48;83.48;Boleto;Loja Física
226;21/06/2024;1;2;100;1;88.12;88.12;Cartão;E-commerce
227;27/06/2024;1;1;510;3;91.14;273.42;Boleto;Loja Física
228;07/06/2024;1;3;695;1;86.94;86.94;Cartão;E-commerce
229;18/06/2024;1;1;783;1;79.2;79.2;Cartão;Loja Física
230;09/06/2024;1;2;173;1;93.34;93.34;Cartão;Loja Física
231;19/06/2024;1;1;648;1;91.52;91.52;Pix;Loja Física
232;16/06/2024;1;1;184;1;98.33;98.33;Pix;E-commerce
233;14/07/2024;1;2;709;2;80.97;161.94;Cartão;Loja Física
234;15/07/2024;1;1;626;1;93.24;93.24;Cartão;E-commerce
235;20/07/2024;1;3;309;4;85.77;343.08;Cartão;Loja Física
236;04/07/2024;1;1;634;5;86.07;430.35;Pix;E-commerce
237;08/07/2024;1;3;676;1;82.73;82.73;Cartão;Loja Física
238;05/07/2024;1;2;510;2;82.04;164.08;Pix;Loja Física
239;21/07/2024;1;1;446;1;83.67;83.67;Boleto;E-commerce
240;15/07/2024;1;3;54;1;98.3;98.3;Cartão;E-commerce
241;16/07/2024;1;1;241;1;93.88;93.88;Cartão;Loja Física
242;07/07/2024;1;2;236;2;95.13;190.26;Cartão;Loja Física
243;24/07/2024;1;1;385;1;97.57;97.57;Cartão;E-commerce
244;02/07/2024;1;1;222;3;98.37;295.11;Cartão;Loja Física
245;05/07/2024;1;1;648;1;86.0;86.0;Cartão;Loja Física
246;02/07/2024;1;1;288;2;81.18;162.36;Pix;Loja Física
247;06/07/2024;1;1;303;2;91.32;182.64;Pix;E-commerce
248;20/07/2024;1;3;567;4;96.78;387.12;Cartão;E-commerce
249;16/07/2024;1;1;606;3;88.5;265.5;Cartão;Loja Física
250;14/07/2024;1;1;254;2;85.32;170.64;Cartão;E-commerce
251;19/07/2024;1;3;6;4;87.29;349.16;Cartão;Telefone
252;24/07/2024;1;1;436;2;89.75;179.5;Cartão;E-commerce
253;27/07/2024;1;2;247;1;80.02;80.02;Pix;E-commerce
254;14/07/2024;1;1;368;4;84.64;338.56;Boleto;Loja Física
255;16/07/2024;1;1;721;2;88.19;176.38;Cartão;E-commerce
256;15/07/2024;1;1;721;1;87.02;87.02;Pix;Loja Física
257;15/07/2024;1;1;643;2;79.75;159.5;Pix;Loja Física
258;02/07/2024;1;2;715;1;98.76;98.76;Cartão;E-commerce
259;26/07/2024;1;3;344;2;94.19;188.38;Cartão;Telefone
260;22/07/2024;1;1;114;1;86.53;86.53;Cartão;Loja Física
261;12/07/2024;1;3;722;1;79.67;79.67;Pix;Loja Física
262;11/07/2024;1;1;665;1;88.61;88.61;Dinheiro;E-commerce
263;23/07/2024;1;3;780;1;83.11;83.11;Cartão;Loja Física
264;22/07/2024;1;1;65;1;86.31;86.31;Cartão;E-commerce
265;27/07/2024;1;3;545;1;92.95;92.95;Cartão;Loja Física
266;20/07/2024;1;3;710;1;95.78;95.78;Dinheiro;Loja Física
267;15/07/2024;1;2;184;1;84.47;84.47;Dinheiro;Loja Física
268;09/07/2024;1;1;509;1;81.48;81.48;Cartão;Telefone
269;01/07/2024;1;3;555;1;98.45;98.45;Cartão;Loja Física
270;24/07/2024;1;2;194;2;79.58;159.16;Pix;Loja Física
271;17/07/2024;1;2;593;2;85.66;171.32;Boleto;Loja Física
272;19/07/2024;1;3;562;2;87.88;175.76;Cartão;Loja Física
273;26/07/2024;1;2;233;1;88.73;88.73;Dinheiro;E-commerce
274;02/07/2024;1;2;467;1;98.98;98.98;Boleto;Loja Física
275;18/07/2024;1;1;726;1;93.26;93.26;Pix;Loja Física
276;08/07/2024;1;2;589;1;80.96;80.96;Cartão;Loja Física
277;22/08/2024;1;2;152;1;86.31;86.31;Cartão;Loja Física
278;10/08/2024;1;1;415;1;98.44;98.44;Pix;Telefone
279;11/08/2024;1;3;560;1;99.4;99.4;Cartão;E-commerce
280;16/08/2024;1;3;683;3;81.41;244.23;Cartão;Telefone
281;15/08/2024;1;1;750;1;88.62;88.62;Cartão;E-commerce
282;04/08/2024;1;2;633;1;96.48;96.48;Cartão;Loja Física
283;02/08/2024;1;1;598;2;89.65;179.3;Pix;E-commerce
284;07/08/2024;1;3;457;1;92.92;92.92;Dinheiro;Telefone
285;13/08/2024;1;2;618;1;91.36;91.36;Dinheiro;Telefone
286;12/08/2024;1;3;438;1;86.24;86.24;Cartão;Loja Física
287;12/08/2024;1;2;575;1;80.11;80.11;Pix;Loja Física
288;14/08/2024;1;2;168;3;95.71;287.13;Dinheiro;Loja Física
289;14/08/2024;1;3;613;1;80.08;80.08;Cartão;Loja Física
290;28/08/2024;1;2;68;1;98.48;98.48;Cartão;Loja Física
291;01/08/2024;1;2;425;1;82.01;82.01;Cartão;E-commerce
292;05/08/2024;1;2;297;1;90.24;90.24;Cartão;E-commerce
293;27/08/2024;1;2;573;1;94.28;94.28;Cartão;E-commerce
294;05/08/2024;1;3;652;1;88.48;88.48;Pix;E-commerce
295;14/08/2024;1;3;661;1;83.53;83.53;Cartão;Loja Física
296;03/08/2024;1;2;596;1;88.65;88.65;Cartão;Loja Física
297;22/08/2024;1;3;123;1;86.32;86.32;Pix;Loja Física
298;09/08/2024;1;1;150;1;85.16;85.16;Pix;Loja Física
299;06/08/2024;1;2;430;1;92.03;92.03;Dinheiro;Loja Física
300;10/08/2024;1;1;527;1;82.42;82.42;Boleto;E-commerce
301;20/08/2024;1;3;331;2;97.16;194.32;Pix;E-commerce
302;10/08/2024;1;3;705;1;86.09;86.09;Cartão;Loja Física
303;05/08/2024;1;3;289;1;86.31;86.31;Cartão;Loja Física
304;06/08/2024;1;1;516;1;83.01;83.01;Cartão;E-commerce
305;20/08/2024;1;3;545;2;93.69;187.38;Pix;E-commerce
306;14/08/2024;1;1;120;1;96.0;96.0;Dinheiro;Loja Física
307;10/08/2024;1;1;453;2;97.54;195.08;Cartão;E-commerce
308;11/08/2024;1;2;30;1;94.38;94.38;Cartão;Loja Física
309;23/08/2024;1;1;315;1;80.93;80.93;Cartão;Loja Física
310;23/08/2024;1;1;80;2;78.62;157.24;Cartão;Loja Física
311;07/08/2024;1;3;526;1;91.1;91.1;Cartão;Telefone
312;02/08/2024;1;3;11;1;94.6;94.6;Pix;Telefone
313;19/09/2024;1;1;687;4;85.85;343.4;Cartão;E-commerce
314;09/09/2024;1;2;361;4;81.7;326.8;Cartão;E-commerce
315;08/09/2024;1;1;102;1;96.02;96.02;Pix;E-commerce
316;23/09/2024;1;2;176;1;97.8;97.8;Cartão;Telefone
317;04/09/2024;1;3;725;4;88.52;354.08;Pix;Loja Física
318;22/09/2024;1;1;364;4;99.53;398.12;Cartão;E-commerce
319;14/09/2024;1;2;127;1;88.33;88.33;Cartão;Loja Física
320;12/09/2024;1;3;740;2;79.09;158.18;Cartão;Loja Física
321;10/09/2024;1;3;320;1;93.14;93.14;Pix;Loja Física
322;14/09/2024;1;2;194;1;96.82;96.82;Pix;E-commerce
323;22/09/2024;1;1;691;1;88.89;88.89;Cartão;Loja Física
324;22/09/2024;1;1;147;2;86.79;173.58;Pix;Telefone
325;24/09/2024;1;1;67;4;86.11;344.44;Cartão;Loja Física
326;28/09/2024;1;1;239;5;96.42;482.1;Pix;Loja Física
327;23/09/2024;1;3;280;2;94.64;189.28;Pix;Telefone
328;12/09/2024;1;3;415;1;99.66;99.66;Cartão;Loja Física
329;15/09/2024;1;2;502;1;89.01;89.01;Boleto;Loja Física
330;04/09/2024;1;1;511;2;92.94;185.88;Dinheiro;Loja Física
331;22/09/2024;1;2;637;1;91.75;91.75;Pix;E-commerce
332;17/09/2024;1;2;207;2;84.59;169.18;Cartão;E-commerce
333;18/09/2024;1;3;560;1;78.59;78.59;Pix;Telefone
334;04/09/2024;1;2;386;1;87.82;87.82;Cartão;Loja Física
335;22/09/2024;1;2;724;3;81.78;245.34;Cartão;Loja Física
336;13/09/2024;1;1;583;1;92.87;92.87;Pix;E-commerce
337;19/09/2024;1;3;161;1;89.22;89.22;Cartão;Loja Física
338;13/09/2024;1;2;785;2;99.45;198.9;Cartão;Loja Física
339;02/09/2024;1;2;358;1;95.8;95.8;Cartão;E-commerce
340;21/09/2024;1;1;439;1;85.71;85.71;Cartão;Loja Física
341;22/09/2024;1;1;664;1;84.99;84.99;Cartão;E-commerce
342;28/09/2024;1;2;174;1;78.64;78.64;Cartão;Loja Física
343;28/09/2024;1;3;432;1;84.0;84.0;Pix;E-commerce
344;11/09/2024;1;2;331;1;90.65;90.65;Pix;Loja Física
345;22/09/2024;1;2;515;1;95.84;95.84;Pix;Loja Física
346;10/09/2024;1;2;207;1;89.01;89.01;Pix;E-commerce
347;27/09/2024;1;1;295;3;83.97;251.91;Cartão;E-commerce
348;26/09/2024;1;3;95;1;93.8;93.8;Cartão;E-commerce
349;09/09/2024;1;3;487;1;87.49;87.49;Cartão;Loja Física
350;27/09/2024;1;2;444;1;92.62;92.62;Cartão;Loja Física
351;09/09/2024;1;2;688;2;94.8;189.6;Cartão;Loja Física
352;23/09/2024;1;1;591;1;89.06;89.06;Pix;E-commerce
353;15/09/2024;1;3;546;1;95.78;95.78;Pix;Telefone
354;17/10/2024;1;2;152;1;83.43;83.43;Pix;E-commerce
355;28/10/2024;1;2;66;1;91.98;91.98;Pix;Loja Física
356;10/10/2024;1;2;704;2;91.27;182.54;Cartão;Loja Física
357;07/10/2024;1;2;476;1;88.75;88.75;Dinheiro;Loja Física
358;02/10/2024;1;2;140;1;78.84;78.84;Pix;Loja Física
359;18/10/2024;1;1;740;1;88.76;88.76;Cartão;E-commerce
360;03/10/2024;1;2;66;1;97.77;97.77;Cartão;Loja Física
361;22/10/2024;1;2;742;3;96.52;289.56;Cartão;E-commerce
362;17/10/2024;1;3;681;4;96.22;384.88;Dinheiro;Telefone
363;09/10/2024;1;1;244;1;91.24;91.24;Pix;Loja Física
364;27/10/2024;1;2;767;1;94.37;94.37;Dinheiro;Loja Física
365;04/10/2024;1;2;451;1;87.08;87.08;Pix;Loja Física
366;18/10/2024;1;1;325;1;90.07;90.07;Cartão;Loja Física
367;09/10/2024;1;1;372;3;88.53;265.59;Cartão;Loja Física
368;21/10/2024;1;3;36;5;96.49;482.45;Pix;Telefone
369;23/10/2024;1;3;246;4;83.71;334.84;Cartão;E-commerce
370;23/10/2024;1;3;125;1;89.83;89.83;Cartão;Loja Física
371;01/10/2024;1;2;262;4;84.75;339.0;Dinheiro;E-commerce
372;10/10/2024;1;1;450;1;91.93;91.93;Pix;E-commerce
373;14/10/2024;1;2;83;2;96.09;192.18;Dinheiro;Loja Física
374;14/10/2024;1;2;735;4;87.39;349.56;Dinheiro;Loja Física
375;06/10/2024;1;3;68;2;85.85;171.7;Boleto;E-commerce
376;24/10/2024;1;3;29;1;94.76;94.76;Boleto;Loja Física
377;15/10/2024;1;1;4;2;86.91;173.82;Boleto;Loja Física
378;03/10/2024;1;1;529;1;93.71;93.71;Pix;E-commerce
379;05/10/2024;1;3;421;3;95.43;286.29;Cartão;Loja Física
380;24/10/2024;1;1;704;1;91.09;91.09;Cartão;Loja Física
381;03/10/2024;1;1;403;1;97.25;97.25;Dinheiro;E-commerce
382;08/10/2024;1;1;572;1;92.27;92.27;Boleto;Telefone
383;15/10/2024;1;3;173;1;79.29;79.29;Boleto;E-commerce
384;05/10/2024;1;2;175;1;98.79;98.79;Cartão;E-commerce
385;14/10/2024;1;2;690;2;88.95;177.9;Cartão;Loja Física
386;28/10/2024;1;2;295;3;94.43;283.29;Cartão;Loja Física
387;07/10/2024;1;2;745;2;92.92;185.84;Cartão;Loja Física
