produto_id;sku;produto_nome;categoria;marca;preco_unitario;custo_unitario;estoque_inicial;unidade_medida;peso_kg;dimensao_cm
29;SKU00029;Acessórios Magneti Marelli Debitis;Acessórios;Magneti Marelli;2094.17;1551.15;65;unidade;5.07;67x66x14
30;SKU00030;Transmissão NGK Molestiae;Transmissão;NGK;2258.55;1127.9;5;unidade;29.56;38x63x19
31;SKU00031;Elétrica Magneti Marelli Ex;Elétrica;Magneti Marelli;1663.13;991.23;53;unidade;8.97;12x79x48
32;SKU00032;Pneus Honda Et;Pneus;Honda;1876.24;876.48;127;unidade;15.14;72x25x4
33;SKU00033;Pneus Yamaha Nulla;Pneus;Yamaha;2132.07;1003.26;22;unidade;20.29;35x56x8
34;SKU00034;Pneus Kawasaki Nostrum;Pneus;Kawasaki;1457.82;673.4;25;unidade;12.63;79x77x34
35;SKU00035;Suspensão Shineray Odio;Suspensão;Shineray;530.54;352.73;66;unidade;8.04;21x90x42
36;SKU00036;Suspensão Pirelli Ex;Suspensão;Pirelli;807.54;545.54;23;unidade;0.38;84x77x7
37;SKU00037;Motor Magneti Marelli Molestias;Motor;Magneti Marelli;552.56;292.61;94;unidade;26.44;36x52x19
38;SKU00038;Freios Pirelli Amet;Freios;Pirelli;2088.52;1380.64;140;unidade;0.33;75x43x43
39;SKU00039;Motor Suzuki Et;Motor;Suzuki;679.55;487.18;146;unidade;4.75;41x82x14
40;SKU00040;Acessórios Bosch Quaerat;Acessórios;Bosch;528.9;338.64;72;unidade;15.21;37x11x6
41;SKU00041;Acessórios NGK Dolores;Acessórios;NGK;2077.64;962.42;90;unidade;23.16;86x38x11
42;SKU00042;Acessórios Pirelli Necessitatibus;Acessórios;Pirelli;1390.41;804.08;7;unidade;3.45;93x24x35
43;SKU00043;Motor Bosch Sequi;Motor;Bosch;1466.71;725.18;37;unidade;1.35;51x10x23
44;SKU00044;Freios Kawasaki Et;Freios;Kawasaki;1675.66;931.84;148;unidade;26.54;57x84x48
45;SKU00045;Freios Kawasaki Corporis;Freios;Kawasaki;2164.9;1608.22;50;unidade;26.45;8x27x48
46;SKU00046;Suspensão NGK Nihil;Suspensão;NGK;2010.53;1425.91;68;unidade;8.08;94x18x25
47;SKU00047;Transmissão Honda Quaerat;Transmissão;Honda;2150.02;1110.98;122;unidade;10.55;34x33x2
48;SKU00048;Acessórios Kawasaki Molestiae;Acessórios;Kawasaki;1011.2;539.56;22;unidade;29.01;40x49x42
49;SKU00049;Pneus NGK Commodi;Pneus;NGK;1706.81;1200.06;89;unidade;28.18;19x38x12
50;SKU00050;Pneus Shineray Dolorem;Pneus;Shineray;119.69;75.28;93;unidade;21.88;45x60x39
51;SKU00051;Pneus Yamaha Dolore;Pneus;Yamaha;978.36;609.5;70;unidade;1.43;60x5x34
52;SKU00052;Transmissão Magneti Marelli Nulla;Transmissão;Magneti Marelli;1724.97;1262.81;55;unidade;10.99;13x90x22
53;SKU00053;Pneus Bosch Ipsum;Pneus;Bosch;1666.88;812.42;81;unidade;15.26;90x57x21
54;SKU00054;Elétrica Shineray Est;Elétrica;Shineray;1397.17;709.14;102;unidade;20.35;27x83x37
55;SKU00055;Suspensão NGK Soluta;Suspensão;NGK;1381.14;621.68;78;unidade;6.38;79x82x42
56;SKU00056;Suspensão Pirelli Doloribus;Suspensão;Pirelli;1118.42;729.98;135;unidade;14.25;99x26x43
57;SKU00057;Motor Shineray Quas;Motor;Shineray;1300.74;832.32;90;unidade;2.89;35x91x20
58;SKU00058;Freios Kawasaki Atque;Freios;Kawasaki;389.7;180.77;126;unidade;18.38;14x63x27
59;SKU00059;Acessórios Cofap Reprehenderit;Acessórios;Cofap;506.23;333.56;131;unidade;12.05;23x88x45
60;SKU00060;Motor Yamaha Unde;Motor;Yamaha;1951.59;1006.34;137;unidade;13.99;76x36x8
61;SKU00061;Elétrica Suzuki Quo;Elétrica;Suzuki;2008.51;1306.08;148;unidade;17.9;61x83x47
62;SKU00062;Pneus NGK Accusamus;Pneus;NGK;2080.66;1278.28;45;unidade;22.34;65x62x17
63;SKU00063;Transmissão Kawasaki Voluptatibus;Transmissão;Kawasaki;2103.66;1121.66;138;unidade;14.59;35x40x29
64;SKU00064;Motor Shineray Ipsum;Motor;Shineray;605.37;333.41;143;unidade;2.51;24x34x25
65;SKU00065;Acessórios Suzuki Porro;Acessórios;Suzuki;1773.39;832.2;109;unidade;9.99;64x58x4
66;SKU00066;Freios NGK Possimus;Freios;NGK;988.96;673.42;10;unidade;25.72;78x53x31
67;SKU00067;Motor Bosch Saepe;Motor;Bosch;764.07;433.22;112;unidade;16.19;99x74x39
68;SKU00068;Freios Pirelli Repudiandae;Freios;Pirelli;568.07;329.91;12;unidade;11.73;90x91x26
69;SKU00069;Acessórios Suzuki Odit;Acessórios;Suzuki;2105.25;1528.12;141;unidade;0.91;55x80x37
70;SKU00070;Acessórios Honda Nihil;Acessórios;Honda;232.77;134.68;123;unidade;5.53;38x53x21
71;SKU00071;Freios Pirelli Ipsa;Freios;Pirelli;833.94;565.72;102;unidade;8.42;58x37x6
72;SKU00072;Elétrica Honda Cum;Elétrica;Honda;1878.84;874.84;94;unidade;6.8;13x88x3
73;SKU00073;Transmissão Honda Repellendus;Transmissão;Honda;2375.29;1210.94;10;unidade;18.68;35x21x31
74;SKU00074;Acessórios Yamaha Repellat;Acessórios;Yamaha;1420.82;732.28;70;unidade;23.03;26x82x39
75;SKU00075;Acessórios Yamaha Ex;Acessórios;Yamaha;1950.03;973.32;84;unidade;3.33;8x44x37
76;SKU00076;Acessórios NGK Iste;Acessórios;NGK;1006.72;668.97;24;unidade;17.8;85x36x7
77;SKU00077;Acessórios Shineray Maxime;Acessórios;Shineray;2129.48;1341.84;35;unidade;23.91;77x10x23
78;SKU00078;Pneus NGK Quaerat;Pneus;NGK;1662.27;782.41;92;unidade;0.48;58x67x7
79;SKU00079;Elétrica Bosch Beatae;Elétrica;Bosch;1598.07;1116.43;44;unidade;13.12;98x71x42
80;SKU00080;Suspensão Cofap Corrupti;Suspensão;Cofap;2025.29;1238.37;128;unidade;14.0;98x80x18
81;SKU00081;Suspensão Kawasaki Mollitia;Suspensão;Kawasaki;2081.06;990.58;120;unidade;7.39;64x77x40
82;SKU00082;Acessórios NGK Nesciunt;Acessórios;NGK;857.58;513.08;88;unidade;5.54;32x50x17
83;SKU00083;Suspensão Shineray Inventore;Suspensão;Shineray;2203.79;1455.28;75;unidade;16.72;71x29x6
84;SKU00084;Freios NGK Libero;Freios;NGK;1234.23;836.13;126;unidade;19.41;67x62x2
85;SKU00085;Motor Shineray Officia;Motor;Shineray;573.45;377.06;83;unidade;19.95;52x65x36
86;SKU00086;Pneus Bosch Corporis;Pneus;Bosch;1078.12;726.42;89;unidade;10.62;63x39x20
87;SKU00087;Suspensão Kawasaki Consequatur;Suspensão;Kawasaki;323.62;164.33;35;unidade;22.31;93x28x13
88;SKU00088;Freios Pirelli A;Freios;Pirelli;709.34;444.67;139;unidade;17.94;17x29x19
89;SKU00089;Freios Bosch Corporis;Freios;Bosch;469.12;213.1;141;unidade;3.88;10x11x36
90;SKU00090;Suspensão Suzuki Labore;Suspensão;Suzuki;1603.73;1083.86;31;unidade;26.19;78x41x31
91;SKU00091;Elétrica Pirelli Quas;Elétrica;Pirelli;868.25;642.2;69;unidade;28.24;66x19x5
92;SKU00092;Elétrica Pirelli Delectus;Elétrica;Pirelli;208.35;133.1;18;unidade;4.64;77x43x6
93;SKU00093;Freios Yamaha Quidem;Freios;Yamaha;1406.23;808.37;62;unidade;23.29;53x62x29
94;SKU00094;Suspensão Cofap Exercitationem;Suspensão;Cofap;2475.33;1340.67;20;unidade;18.33;99x17x49
95;SKU00095;Freios Kawasaki Labore;Freios;Kawasaki;680.0;322.56;66;unidade;5.3;14x25x1
96;SKU00096;Elétrica Pirelli Eveniet;Elétrica;Pirelli;1731.19;1023.09;13;unidade;7.02;95x41x45
97;SKU00097;Transmissão Pirelli Voluptatum;Transmissão;Pirelli;201.17;104.61;72;unidade;23.66;85x80x43
98;SKU00098;Transmissão Kawasaki Occaecati;Transmissão;Kawasaki;1077.22;660.73;43;unidade;27.26;23x14x4
99;SKU00099;Freios Shineray Consequatur;Freios;Shineray;1497.73;1044.33;78;unidade;13.23;64x93x20
100;SKU00100;Acessórios NGK Ab;Acessórios;NGK;2358.12;1415.21;131;unidade;13.19;81x10x28
101;SKU00101;Acessórios Bosch Voluptatem;Acessórios;Bosch;1519.19;695.42;63;unidade;28.86;78x80x2
102;SKU00102;Transmissão Shineray Nihil;Transmissão;Shineray;1451.21;985.27;49;unidade;14.17;88x61x18
103;SKU00103;Freios Cofap Fugit;Freios;Cofap;1103.82;766.35;28;unidade;14.15;57x47x21
104;SKU00104;Acessórios Yamaha Ab;Acessórios;Yamaha;2147.89;1179.07;131;unidade;8.72;56x75x3
105;SKU00105;Elétrica Yamaha Molestiae;Elétrica;Yamaha;803.43;439.46;108;unidade;25.96;5x89x35
106;SKU00106;Elétrica NGK Porro;Elétrica;NGK;159.16;96.38;132;unidade;18.8;11x31x18
107;SKU00107;Pneus Suzuki Voluptas;Pneus;Suzuki;2320.99;1349.5;129;unidade;3.73;85x82x16
108;SKU00108;Acessórios Suzuki Delectus;Acessórios;Suzuki;794.11;360.61;109;unidade;2.89;19x64x8
109;SKU00109;Acessórios Suzuki Architecto;Acessórios;Suzuki;1258.48;836.87;135;unidade;21.19;58x66x31
110;SKU00110;Freios Pirelli Omnis;Freios;Pirelli;1389.38;785.11;135;unidade;22.41;22x13x18
111;SKU00111;Transmissão NGK Quod;Transmissão;NGK;866.19;594.48;73;unidade;24.63;41x97x20
112;SKU00112;Transmissão Cofap Cumque;Transmissão;Cofap;1460.31;946.25;43;unidade;13.45;66x49x22
113;SKU00113;Pneus Magneti Marelli Ipsa;Pneus;Magneti Marelli;958.59;699.63;53;unidade;29.43;35x78x25
114;SKU00114;Freios NGK Suscipit;Freios;NGK;133.03;89.58;102;unidade;11.64;89x88x10
115;SKU00115;Elétrica Honda Est;Elétrica;Honda;337.46;249.59;89;unidade;26.1;61x17x34
116;SKU00116;Elétrica Honda Quae;Elétrica;Honda;1813.05;1038.87;44;unidade;2.34;38x48x40
117;SKU00117;Acessórios NGK Cupiditate;Acessórios;NGK;1633.35;1152.38;141;unidade;11.46;45x85x46
118;SKU00118;Transmissão Pirelli Nisi;Transmissão;Pirelli;2184.15;1006.39;22;unidade;7.12;92x41x15
119;SKU00119;Acessórios Yamaha Atque;Acessórios;Yamaha;1099.08;527.05;30;unidade;13.37;93x43x2
120;SKU00120;Motor Bosch Nam;Motor;Bosch;1995.46;1073.58;100;unidade;12.98;36x72x27
121;SKU00121;Pneus Suzuki Cumque;Pneus;Suzuki;445.71;211.13;102;unidade;18.63;35x68x38
122;SKU00122;Freios Kawasaki Neque;Freios;Kawasaki;1166.35;613.73;70;unidade;20.04;64x41x44
123;SKU00123;Pneus Suzuki Et;Pneus;Suzuki;207.81;152.44;81;unidade;19.2;59x93x17
124;SKU00124;Elétrica Shineray Aliquid;Elétrica;Shineray;518.06;292.92;128;unidade;3.29;53x78x23
125;SKU00125;Pneus Shineray Autem;Pneus;Shineray;2481.91;1336.68;106;unidade;8.31;77x92x50
126;SKU00126;Acessórios Honda Iste;Acessórios;Honda;2278.78;1534.88;78;unidade;23.29;34x82x23
127;SKU00127;Freios Kawasaki Dicta;Freios;Kawasaki;1561.71;1020.31;40;unidade;18.88;85x87x3
128;SKU00128;Suspensão Pirelli Eius;Suspensão;Pirelli;107.58;60.19;38;unidade;2.79;42x46x48
129;SKU00129;Elétrica Suzuki Laudantium;Elétrica;Suzuki;521.97;358.05;98;unidade;15.97;39x26x17
130;SKU00130;Transmissão Pirelli Totam;Transmissão;Pirelli;2419.28;1302.88;91;unidade;24.15;64x14x10
131;SKU00131;Transmissão Kawasaki Expedita;Transmissão;Kawasaki;2153.85;1437.19;106;unidade;29.02;76x51x6
132;SKU00132;Transmissão NGK Quae;Transmissão;NGK;59.45;36.32;121;unidade;11.12;100x91x17
133;SKU00133;Pneus NGK Cupiditate;Pneus;NGK;2060.48;1508.45;32;unidade;20.28;65x8x40
134;SKU00134;Pneus Bosch Repudiandae;Pneus;Bosch;2290.26;1182.71;21;unidade;19.1;64x94x20
135;SKU00135;Acessórios NGK Deleniti;Acessórios;NGK;313.77;145.47;14;unidade;9.2;68x19x7
136;SKU00136;Freios Magneti Marelli Odit;Freios;Magneti Marelli;360.77;211.44;143;unidade;12.63;100x98x10
137;SKU00137;Elétrica Yamaha Rerum;Elétrica;Yamaha;2088.39;1325.49;76;unidade;1.08;52x32x29
138;SKU00138;Elétrica Kawasaki Placeat;Elétrica;Kawasaki;2142.24;1027.86;99;unidade;16.38;87x50x4
139;SKU00139;Elétrica Shineray Veniam;Elétrica;Shineray;494.78;240.78;121;unidade;2.84;32x87x41
140;SKU00140;Pneus Honda Consequatur;Pneus;Honda;150.18;82.61;37;unidade;23.63;31x13x49
141;SKU00141;Pneus Kawasaki Voluptate;Pneus;Kawasaki;1476.3;1024.43;64;unidade;9.92;23x81x1
142;SKU00142;Suspensão Suzuki Autem;Suspensão;Suzuki;2469.13;1511.27;49;unidade;3.39;8x21x1
143;SKU00143;Suspensão Kawasaki Magni;Suspensão;Kawasaki;1482.41;674.1;72;unidade;1.67;99x58x34
144;SKU00144;Motor Yamaha Beatae;Motor;Yamaha;1203.71;822.62;136;unidade;17.85;62x69x15
145;SKU00145;Pneus Honda Neque;Pneus;Honda;1824.93;1318.74;138;unidade;9.12;87x8x4
146;SKU00146;Elétrica NGK Optio;Elétrica;NGK;1080.03;520.99;118;unidade;2.3;15x46x39
147;SKU00147;Freios Yamaha Temporibus;Freios;Yamaha;337.32;214.97;145;unidade;21.39;53x81x34
148;SKU00148;Suspensão Pirelli Perferendis;Suspensão;Pirelli;1276.24;739.02;34;unidade;25.6;88x75x47
149;SKU00149;Transmissão Kawasaki Natus;Transmissão;Kawasaki;1089.42;780.49;110;unidade;10.23;63x56x27
150;SKU00150;Acessórios Yamaha Provident;Acessórios;Yamaha;798.56;434.22;70;unidade;11.29;24x92x31
151;SKU00151;Motor Yamaha Eveniet;Motor;Yamaha;2083.64;995.92;29;unidade;22.36;52x21x36
152;SKU00152;Motor Cofap Expedita;Motor;Cofap;2392.65;1479.87;36;unidade;12.38;90x59x47
153;SKU00153;Motor Shineray Consequuntur;Motor;Shineray;1511.01;839.36;134;unidade;6.46;89x66x15
154;SKU00154;Transmissão Yamaha Rerum;Transmissão;Yamaha;891.53;549.97;34;unidade;22.9;78x33x28
155;SKU00155;Transmissão Magneti Marelli Eius;Transmissão;Magneti Marelli;2437.0;1695.0;147;unidade;0.88;89x93x18
156;SKU00156;Motor Suzuki Ad;Motor;Suzuki;701.34;476.02;91;unidade;10.6;28x23x37
157;SKU00157;Acessórios NGK Qui;Acessórios;NGK;197.22;132.59;12;unidade;2.84;72x32x25
158;SKU00158;Elétrica Pirelli Ad;Elétrica;Pirelli;868.72;487.37;88;unidade;23.33;77x81x6
159;SKU00159;Motor Suzuki Dolor;Motor;Suzuki;414.59;263.41;25;unidade;8.24;89x59x32
160;SKU00160;Pneus Pirelli Sequi;Pneus;Pirelli;1050.1;540.46;136;unidade;3.5;60x19x19
161;SKU00161;Acessórios Cofap Sit;Acessórios;Cofap;1229.42;799.29;16;unidade;6.69;81x12x1
162;SKU00162;Freios Shineray Dolorum;Freios;Shineray;2364.68;1608.47;70;unidade;8.75;20x5x32
163;SKU00163;Acessórios NGK Laboriosam;Acessórios;NGK;459.84;259.38;63;unidade;15.06;90x50x5
164;SKU00164;Elétrica Honda Sequi;Elétrica;Honda;1104.64;649.45;24;unidade;25.88;78x59x37
165;SKU00165;Elétrica NGK Maiores;Elétrica;NGK;741.55;423.8;88;unidade;5.24;84x63x45
166;SKU00166;Suspensão Yamaha Eius;Suspensão;Yamaha;1105.86;532.76;116;unidade;17.71;72x15x26
167;SKU00167;Transmissão Shineray Ducimus;Transmissão;Shineray;1870.87;966.25;48;unidade;2.38;86x19x34
168;SKU00168;Pneus Kawasaki Officiis;Pneus;Kawasaki;2267.16;1257.85;42;unidade;7.16;23x37x13
169;SKU00169;Freios Cofap Itaque;Freios;Cofap;403.35;273.37;24;unidade;5.4;85x68x30
170;SKU00170;Transmissão Cofap Et;Transmissão;Cofap;1905.7;1114.21;149;unidade;19.33;84x46x41
171;SKU00171;Suspensão Suzuki In;Suspensão;Suzuki;1113.41;657.66;82;unidade;23.91;80x12x23
172;SKU00172;Pneus Yamaha Aspernatur;Pneus;Yamaha;793.26;464.51;19;unidade;11.13;41x14x42
173;SKU00173;Transmissão Yamaha Laudantium;Transmissão;Yamaha;1547.15;931.57;123;unidade;17.45;99x10x29
174;SKU00174;Transmissão Cofap Dolorem;Transmissão;Cofap;1638.3;895.26;126;unidade;15.09;12x62x7
175;SKU00175;Transmissão Bosch Perferendis;Transmissão;Bosch;2456.4;1167.52;49;unidade;1.27;95x61x29
176;SKU00176;Pneus Magneti Marelli Cupiditate;Pneus;Magneti Marelli;1534.27;857.92;77;unidade;11.68;48x91x39
177;SKU00177;Motor Bosch Beatae;Motor;Bosch;188.13;89.99;103;unidade;8.6;97x89x39
178;SKU00178;Transmissão Suzuki Modi;Transmissão;Suzuki;850.07;531.14;41;unidade;27.51;44x88x45
179;SKU00179;Acessórios NGK Nobis;Acessórios;NGK;344.16;228.06;26;unidade;9.36;53x87x22
180;SKU00180;Transmissão Suzuki Debitis;Transmissão;Suzuki;1683.54;1176.27;139;unidade;2.89;90x59x33
181;SKU00181;Suspensão Honda Repudiandae;Suspensão;Honda;922.43;464.98;59;unidade;10.32;67x29x15
182;SKU00182;Freios Suzuki Eligendi;Freios;Suzuki;215.98;151.9;30;unidade;15.28;74x99x34
183;SKU00183;Motor Bosch Eos;Motor;Bosch;2194.07;1394.13;101;unidade;4.71;28x93x50
184;SKU00184;Pneus Suzuki Quaerat;Pneus;Suzuki;1809.93;838.19;98;unidade;20.32;35x61x40
185;SKU00185;Suspensão Pirelli Rerum;Suspensão;Pirelli;604.16;315.22;125;unidade;27.13;29x52x44
186;SKU00186;Pneus Pirelli Harum;Pneus;Pirelli;1167.66;624.15;102;unidade;15.14;58x25x13
187;SKU00187;Transmissão Cofap Quod;Transmissão;Cofap;367.54;192.96;128;unidade;26.24;75x18x46
188;SKU00188;Transmissão Magneti Marelli Aliquid;Transmissão;Magneti Marelli;2131.64;1141.53;46;unidade;8.26;70x23x28
189;SKU00189;Motor Kawasaki Iure;Motor;Kawasaki;2046.34;1463.93;11;unidade;12.51;55x69x24
190;SKU00190;Freios NGK Perspiciatis;Freios;NGK;2486.45;1398.56;12;unidade;9.63;17x96x42
191;SKU00191;Suspensão Suzuki Nostrum;Suspensão;Suzuki;365.56;195.96;125;unidade;20.91;22x95x31
192;SKU00192;Elétrica Cofap Sit;Elétrica;Cofap;38.0;18.0;70;unidade;6.55;24x75x47
193;SKU00193;Pneus Magneti Marelli Eius;Pneus;Magneti Marelli;1072.56;732.4;65;unidade;9.1;11x35x27
194;SKU00194;Acessórios Cofap Impedit;Acessórios;Cofap;1156.36;558.82;132;unidade;17.94;7x85x33
195;SKU00195;Pneus Kawasaki Quisquam;Pneus;Kawasaki;1803.4;969.11;5;unidade;18.48;35x78x27
196;SKU00196;Freios Yamaha Neque;Freios;Yamaha;1320.62;737.15;139;unidade;16.37;69x75x2
197;SKU00197;Elétrica Pirelli Et;Elétrica;Pirelli;132.75;75.15;100;unidade;7.68;7x50x5
198;SKU00198;Suspensão Kawasaki Soluta;Suspensão;Kawasaki;1839.03;1174.18;90;unidade;4.09;50x74x22
199;SKU00199;Transmissão Suzuki Vero;Transmissão;Suzuki;2080.2;1363.37;127;unidade;18.99;22x13x46
200;SKU00200;Transmissão Pirelli Non;Transmissão;Pirelli;116.53;59.49;56;unidade;26.59;45x44x33
201;SKU00201;Elétrica Magneti Marelli Incidunt;Elétrica;Magneti Marelli;1196.66;551.64;53;unidade;8.65;11x88x22
202;SKU00202;Suspensão Yamaha Rerum;Suspensão;Yamaha;2003.37;1164.13;107;unidade;22.32;54x48x12
203;SKU00203;Elétrica Pirelli Quis;Elétrica;Pirelli;934.18;643.82;73;unidade;24.05;98x59x6
204;SKU00204;Elétrica Cofap Accusamus;Elétrica;Cofap;2487.87;1254.23;80;unidade;9.7;15x46x43
205;SKU00205;Suspensão Shineray Provident;Suspensão;Shineray;1128.64;750.88;47;unidade;20.72;49x62x3
206;SKU00206;Acessórios Bosch Sequi;Acessórios;Bosch;1546.76;897.87;19;unidade;2.34;86x56x24
207;SKU00207;Pneus Suzuki Velit;Pneus;Suzuki;2383.15;1174.5;117;unidade;1.14;13x35x50
208;SKU00208;Acessórios Bosch Aliquid;Acessórios;Bosch;921.32;677.02;13;unidade;18.19;91x62x24
209;SKU00209;Suspensão Pirelli Unde;Suspensão;Pirelli;1913.63;1190.62;140;unidade;11.07;45x88x18
210;SKU00210;Freios Yamaha Amet;Freios;Yamaha;89.14;45.09;137;unidade;11.67;76x20x17
211;SKU00211;Transmissão Shineray Sed;Transmissão;Shineray;1767.49;909.15;78;unidade;20.85;67x30x8
212;SKU00212;Freios Yamaha Neque;Freios;Yamaha;1143.81;823.09;118;unidade;29.92;92x45x43
213;SKU00213;Suspensão Yamaha Laborum;Suspensão;Yamaha;1386.24;744.56;81;unidade;25.56;96x95x45
214;SKU00214;Acessórios Suzuki Commodi;Acessórios;Suzuki;1989.4;1198.87;36;unidade;29.56;22x35x32
215;SKU00215;Motor Bosch Totam;Motor;Bosch;1396.2;782.81;146;unidade;3.98;16x13x20
216;SKU00216;Elétrica Pirelli Consequatur;Elétrica;Pirelli;1326.1;902.74;23;unidade;3.85;45x87x5
217;SKU00217;Elétrica Pirelli Quaerat;Elétrica;Pirelli;1708.27;945.28;146;unidade;19.23;28x21x28
218;SKU00218;Pneus Honda Minus;Pneus;Honda;2082.69;1260.92;82;unidade;5.02;46x95x15
219;SKU00219;Suspensão Magneti Marelli Illum;Suspensão;Magneti Marelli;2239.94;1576.43;69;unidade;5.97;75x40x9
220;SKU00220;Acessórios Shineray Amet;Acessórios;Shineray;1545.71;738.89;48;unidade;17.8;79x24x11
221;SKU00221;Acessórios Cofap Aperiam;Acessórios;Cofap;1808.57;1142.19;149;unidade;1.33;8x15x3
222;SKU00222;Acessórios Cofap Ipsam;Acessórios;Cofap;680.02;349.02;111;unidade;18.58;8x68x41
223;SKU00223;Pneus Shineray Facilis;Pneus;Shineray;1613.72;872.42;67;unidade;24.16;92x56x20
224;SKU00224;Elétrica Yamaha Natus;Elétrica;Yamaha;1729.32;860.21;111;unidade;14.58;31x48x39
225;SKU00225;Freios Bosch Ipsa;Freios;Bosch;2157.18;1177.38;93;unidade;29.26;21x52x33
226;SKU00226;Pneus Yamaha Repudiandae;Pneus;Yamaha;814.81;480.69;73;unidade;13.54;23x17x4
227;SKU00227;Suspensão NGK Voluptate;Suspensão;NGK;2163.81;1245.14;45;unidade;24.42;78x97x21
228;SKU00228;Freios Suzuki Quibusdam;Freios;Suzuki;1258.21;760.48;132;unidade;26.38;68x7x6
229;SKU00229;Elétrica Magneti Marelli Eligendi;Elétrica;Magneti Marelli;1156.65;604.02;95;unidade;1.55;41x68x39
230;SKU00230;Transmissão Pirelli Reprehenderit;Transmissão;Pirelli;732.23;331.3;32;unidade;12.98;38x98x24
231;SKU00231;Transmissão NGK Quod;Transmissão;NGK;930.69;530.66;150;unidade;16.9;51x75x19
232;SKU00232;Motor NGK Ea;Motor;NGK;1273.03;864.8;76;unidade;24.78;84x92x40
233;SKU00233;Motor Suzuki Praesentium;Motor;Suzuki;2438.33;1385.39;91;unidade;16.78;51x23x13
234;SKU00234;Pneus Magneti Marelli Fuga;Pneus;Magneti Marelli;1018.43;470.59;14;unidade;4.2;47x65x34
235;SKU00235;Elétrica Suzuki Facilis;Elétrica;Suzuki;1525.49;922.39;88;unidade;27.95;45x25x26
236;SKU00236;Pneus Shineray Eveniet;Pneus;Shineray;1494.47;899.96;135;unidade;16.02;95x77x20
237;SKU00237;Elétrica Honda Labore;Elétrica;Honda;936.69;610.85;111;unidade;17.55;97x93x41
238;SKU00238;Motor Cofap Ullam;Motor;Cofap;1199.61;887.86;63;unidade;21.67;79x66x11
239;SKU00239;Pneus Cofap Saepe;Pneus;Cofap;1942.15;1095.48;67;unidade;1.04;94x19x13
