compra_id;data_compra;produto_id;fornecedor;quantidade_comprada;valor_unitario;valor_total;prazo_entrega_dias;status_compra
72;14/07/2024;10;Bosch Distribuição;22;1499.75;32994.5;15;Entregue
73;11/07/2024;10;NGK Brasil;48;1681.07;80691.36;19;Cancelada
74;21/11/2024;10;Honda Peças;66;1767.34;116644.44;5;Entregue
75;12/08/2024;11;Magneti Marelli;10;1551.34;15513.4;19;Entregue
76;20/10/2024;11;Honda Peças;59;1453.28;85743.52;9;Entregue
77;10/10/2024;11;Honda Peças;26;1628.96;42352.96;12;Entregue
78;12/02/2024;12;Cofap Distrib;94;407.94;38346.36;19;Entregue
79;01/02/2024;12;Yamaha Parts;49;412.42;20208.58;11;Entregue
80;05/02/2024;12;Cofap Distrib;24;369.55;8869.2;12;Entregue
81;11/04/2024;12;Bosch Distribuição;80;368.27;29461.6;6;Entregue
82;07/04/2024;12;Bosch Distribuição;16;385.15;6162.4;20;Pendente
83;16/04/2024;12;Pirelli Brasil;97;422.59;40991.23;3;Entregue
84;05/06/2024;12;NGK Brasil;22;394.94;8688.68;18;Entregue
85;20/06/2024;12;Yamaha Parts;45;443.72;19967.4;12;Entregue
86;20/07/2024;12;Cofap Distrib;57;443.28;25266.96;14;Cancelada
87;20/07/2024;12;NGK Brasil;49;425.98;20873.02;16;Entregue
88;03/07/2024;12;Magneti Marelli;95;397.33;37746.35;8;Entregue
89;16/08/2024;12;Pirelli Brasil;35;375.64;13147.4;7;Entregue
90;13/08/2024;12;Pirelli Brasil;15;395.74;5936.1;8;Entregue
91;22/09/2024;12;Honda Peças;57;420.65;23977.05;14;Entregue
92;17/03/2024;13;Magneti Marelli;65;858.62;55810.3;14;Entregue
93;24/07/2024;13;Yamaha Parts;58;736.66;42726.28;19;Entregue
94;05/09/2024;13;Magneti Marelli;22;724.27;15933.94;19;Entregue
95;27/09/2024;13;Honda Peças;52;802.22;41715.44;18;Entregue
96;18/09/2024;13;Honda Peças;39;762.88;29752.32;14;Entregue
97;10/12/2024;13;Honda Peças;31;862.32;26731.92;19;Entregue
98;17/02/2024;14;Honda Peças;77;1269.62;97760.74;18;Entregue
99;06/02/2024;14;Magneti Marelli;64;1278.75;81840.0;5;Entregue
100;06/03/2024;14;Pirelli Brasil;98;1223.06;119859.88;17;Entregue
101;06/06/2024;14;NGK Brasil;100;1228.17;122817.0;20;Entregue
102;19/06/2024;14;Pirelli Brasil;77;1228.6;94602.2;14;Entregue
103;20/06/2024;14;Pirelli Brasil;44;1183.86;52089.84;13;Entregue
104;18/07/2024;14;Magneti Marelli;71;1380.53;98017.63;12;Entregue
105;14/08/2024;14;Cofap Distrib;53;1269.82;67300.46;12;Entregue
106;16/08/2024;14;Bosch Distribuição;10;1342.82;13428.2;6;Entregue
107;15/09/2024;14;Cofap Distrib;50;1280.61;64030.5;8;Cancelada
108;10/09/2024;14;NGK Brasil;49;1262.56;61865.44;20;Entregue
109;09/02/2024;15;Magneti Marelli;37;1212.16;44849.92;9;Entregue
110;09/02/2024;15;Cofap Distrib;89;1150.44;102389.16;18;Entregue
111;11/03/2024;15;Honda Peças;37;1074.81;39767.97;16;Cancelada
112;16/03/2024;15;Honda Peças;76;1132.42;86063.92;12;Entregue
113;17/03/2024;15;Pirelli Brasil;80;1091.48;87318.4;20;Entregue
114;12/04/2024;15;Magneti Marelli;30;1207.35;36220.5;17;Entregue
115;24/07/2024;15;Cofap Distrib;84;1132.3;95113.2;7;Entregue
116;21/07/2024;15;Bosch Distribuição;8;1063.99;8511.92;16;Entregue
117;06/07/2024;15;Yamaha Parts;100;1106.52;110652.0;17;Entregue
118;15/09/2024;15;Cofap Distrib;60;1192.09;71525.4;3;Entregue
119;03/09/2024;15;Honda Peças;28;1092.16;30580.48;10;Entregue
120;02/11/2024;15;NGK Brasil;90;1142.54;102828.6;12;Entregue
121;15/12/2024;15;Honda Peças;57;1038.75;59208.75;5;Entregue
122;05/01/2024;16;NGK Brasil;15;213.94;3209.1;5;Entregue
123;05/04/2024;16;Bosch Distribuição;96;188.31;18077.76;5;Entregue
124;07/05/2024;16;Yamaha Parts;88;209.3;18418.4;10;Entregue
125;10/05/2024;16;Yamaha Parts;61;186.42;11371.62;16;Entregue
126;05/05/2024;16;Magneti Marelli;75;181.88;13641.0;14;Entregue
127;09/07/2024;16;Yamaha Parts;9;197.06;1773.54;4;Entregue
128;13/03/2024;17;NGK Brasil;29;665.41;19296.89;5;Pendente
129;04/03/2024;17;Magneti Marelli;84;714.26;59997.84;17;Entregue
130;17/09/2024;17;Yamaha Parts;16;725.14;11602.24;10;Entregue
131;10/09/2024;17;Cofap Distrib;15;757.55;11363.25;5;Entregue
132;17/09/2024;17;Pirelli Brasil;28;761.53;21322.84;15;Entregue
133;06/11/2024;17;Yamaha Parts;60;771.52;46291.2;16;Entregue
134;06/01/2024;18;NGK Brasil;18;1411.38;25404.84;6;Entregue
135;01/03/2024;18;Magneti Marelli;64;1203.15;77001.6;3;Entregue
136;24/03/2024;18;NGK Brasil;97;1461.32;141748.04;6;Entregue
137;15/04/2024;18;Magneti Marelli;58;1395.25;80924.5;14;Entregue
138;12/04/2024;18;Yamaha Parts;39;1407.12;54877.68;17;Entregue
139;21/06/2024;18;Honda Peças;66;1215.48;80221.68;17;Entregue
140;06/06/2024;18;Cofap Distrib;48;1261.74;60563.52;18;Entregue
141;25/07/2024;18;Cofap Distrib;62;1207.21;74847.02;14;Entregue
142;11/08/2024;18;NGK Brasil;56;1227.69;68750.64;16;Entregue
143;24/01/2024;19;Yamaha Parts;62;1839.45;114045.9;3;Entregue
144;13/01/2024;19;Yamaha Parts;12;1992.16;23905.92;6;Entregue
145;13/02/2024;19;Pirelli Brasil;72;1795.91;129305.52;7;Entregue
146;09/02/2024;19;Yamaha Parts;39;1822.15;71063.85;16;Entregue
147;11/03/2024;19;NGK Brasil;75;1811.29;135846.75;12;Entregue
148;27/03/2024;19;Yamaha Parts;98;1700.14;166613.72;17;Entregue
149;25/03/2024;19;Yamaha Parts;22;1736.03;38192.66;5;Pendente
150;25/04/2024;19;Honda Peças;80;1835.66;146852.8;6;Entregue
151;08/04/2024;19;Bosch Distribuição;23;1817.06;41792.38;13;Entregue
152;11/04/2024;19;Yamaha Parts;75;1944.35;145826.25;16;Entregue
153;15/10/2024;19;Honda Peças;49;1905.62;93375.38;6;Entregue
154;07/10/2024;19;Cofap Distrib;84;2023.03;169934.52;6;Entregue
155;27/10/2024;19;Bosch Distribuição;37;1942.35;71866.95;7;Entregue
156;23/02/2024;20;Honda Peças;99;1850.22;183171.78;8;Entregue
157;16/02/2024;20;Pirelli Brasil;9;1733.78;15604.02;14;Entregue
158;01/02/2024;20;Cofap Distrib;44;1874.27;82467.88;15;Cancelada
159;11/07/2024;20;NGK Brasil;37;1565.03;57906.11;19;Entregue
160;27/12/2024;20;Cofap Distrib;6;1897.84;11387.04;18;Pendente
161;02/12/2024;20;Bosch Distribuição;97;1744.88;169253.36;17;Entregue
162;07/12/2024;20;Pirelli Brasil;43;1596.18;68635.74;8;Entregue
163;21/03/2024;21;NGK Brasil;100;545.57;54557.0;9;Entregue
164;23/03/2024;21;Honda Peças;67;516.95;34635.65;4;Entregue
165;07/03/2024;21;Cofap Distrib;80;532.82;42625.6;4;Entregue
166;10/08/2024;21;Cofap Distrib;20;567.71;11354.2;5;Entregue
167;02/08/2024;21;Pirelli Brasil;19;527.05;10013.95;11;Entregue
168;18/08/2024;21;Cofap Distrib;75;510.35;38276.25;19;Entregue
169;20/09/2024;21;Honda Peças;27;585.08;15797.16;8;Entregue
170;16/09/2024;21;NGK Brasil;39;519.34;20254.26;16;Entregue
171;03/12/2024;21;NGK Brasil;8;566.59;4532.72;4;Entregue
172;23/12/2024;21;Pirelli Brasil;95;544.12;51691.4;15;Entregue
173;05/04/2024;22;Honda Peças;14;688.29;9636.06;15;Entregue
174;01/04/2024;22;Honda Peças;19;718.4;13649.6;16;Entregue
175;19/04/2024;22;Pirelli Brasil;65;708.16;46030.4;8;Entregue
176;13/05/2024;22;Pirelli Brasil;39;729.02;28431.78;16;Entregue
177;01/07/2024;22;Honda Peças;5;783.61;3918.05;20;Entregue
178;18/07/2024;22;Pirelli Brasil;8;788.29;6306.32;4;Entregue
179;18/07/2024;22;Yamaha Parts;16;822.3;13156.8;10;Entregue
180;10/09/2024;22;Cofap Distrib;52;718.5;37362.0;3;Pendente
181;05/09/2024;22;Cofap Distrib;56;782.81;43837.36;10;Entregue
182;20/03/2024;23;Magneti Marelli;36;98.88;3559.68;3;Entregue
183;08/03/2024;23;Bosch Distribuição;59;89.7;5292.3;9;Entregue
184;14/04/2024;23;Magneti Marelli;48;92.1;4420.8;15;Entregue
185;24/04/2024;23;Magneti Marelli;72;99.68;7176.96;12;Entregue
186;14/05/2024;23;Pirelli Brasil;13;95.28;1238.64;14;Entregue
187;05/05/2024;23;Yamaha Parts;69;92.38;6374.22;6;Entregue
188;26/06/2024;23;NGK Brasil;27;90.88;2453.76;9;Entregue
189;13/06/2024;23;Honda Peças;65;86.99;5654.35;16;Entregue
190;18/08/2024;23;Bosch Distribuição;12;89.76;1077.12;14;Entregue
191;03/08/2024;23;Honda Peças;49;101.28;4962.72;20;Entregue
192;24/08/2024;23;Pirelli Brasil;76;102.57;7795.32;16;Entregue
193;18/09/2024;23;Bosch Distribuição;86;92.61;7964.46;8;Entregue
194;20/09/2024;23;Honda Peças;69;103.74;7158.06;18;Entregue
195;04/09/2024;23;Honda Peças;79;94.77;7486.83;4;Entregue
196;26/11/2024;23;Magneti Marelli;25;85.79;2144.75;19;Entregue
197;18/11/2024;23;Pirelli Brasil;33;96.46;3183.18;11;Entregue
198;26/11/2024;23;Cofap Distrib;73;99.53;7265.69;19;Entregue
199;26/01/2024;24;Bosch Distribuição;68;458.06;31148.08;18;Entregue
200;01/01/2024;24;Bosch Distribuição;99;531.24;52592.76;4;Entregue
201;08/02/2024;24;Bosch Distribuição;24;521.13;12507.12;11;Entregue
202;24/02/2024;24;Honda Peças;29;452.85;13132.65;19;Entregue
203;22/02/2024;24;Cofap Distrib;27;436.27;11779.29;9;Entregue
204;10/06/2024;24;Honda Peças;87;488.3;42482.1;17;Pendente
205;12/08/2024;24;Magneti Marelli;43;482.64;20753.52;4;Entregue
206;13/08/2024;24;NGK Brasil;72;510.81;36778.32;12;Entregue
207;28/09/2024;24;Honda Peças;20;482.72;9654.4;3;Cancelada
208;03/09/2024;24;Magneti Marelli;94;489.55;46017.7;18;Cancelada
209;03/09/2024;24;Magneti Marelli;97;465.79;45181.63;15;Entregue
210;03/11/2024;24;Yamaha Parts;22;435.54;9581.88;8;Entregue
211;10/03/2024;25;Honda Peças;48;1131.27;54300.96;11;Entregue
212;11/04/2024;25;Pirelli Brasil;55;1130.23;62162.65;9;Entregue
213;28/04/2024;25;Cofap Distrib;21;985.22;20689.62;19;Entregue
214;10/04/2024;25;Pirelli Brasil;24;944.59;22670.16;11;Cancelada
215;08/10/2024;25;Yamaha Parts;22;1001.09;22023.98;16;Entregue
216;06/10/2024;25;Bosch Distribuição;21;1009.26;21194.46;9;Entregue
217;23/01/2024;26;Yamaha Parts;13;1074.35;13966.55;9;Entregue
218;19/02/2024;26;Yamaha Parts;79;1055.1;83352.9;7;Entregue
219;08/04/2024;26;Yamaha Parts;40;987.77;39510.8;13;Entregue
220;25/04/2024;26;Pirelli Brasil;34;1062.53;36126.02;19;Pendente
221;09/04/2024;26;Cofap Distrib;13;1111.63;14451.19;18;Entregue
222;10/05/2024;26;Magneti Marelli;33;1139.1;37590.3;17;Entregue
223;25/06/2024;26;Pirelli Brasil;77;1112.87;85690.99;4;Entregue
224;17/08/2024;26;Magneti Marelli;36;1095.88;39451.68;4;Entregue
225;24/09/2024;26;Pirelli Brasil;57;1059.75;60405.75;3;Entregue
226;19/09/2024;26;Yamaha Parts;54;1087.51;58725.54;19;Entregue
227;13/05/2024;27;Honda Peças;63;130.89;8246.07;13;Entregue
228;14/06/2024;27;Pirelli Brasil;29;135.08;3917.32;11;Entregue
229;03/06/2024;27;Cofap Distrib;23;138.61;3188.03;15;Entregue
230;11/06/2024;27;Pirelli Brasil;8;126.52;1012.16;18;Entregue
231;28/08/2024;27;Pirelli Brasil;72;138.76;9990.72;20;Cancelada
232;26/08/2024;27;Pirelli Brasil;25;140.65;3516.25;19;Entregue
233;26/08/2024;27;Pirelli Brasil;12;121.35;1456.2;6;Entregue
234;06/11/2024;27;Pirelli Brasil;34;126.35;4295.9;9;Entregue
235;19/02/2024;28;Pirelli Brasil;97;338.71;32854.87;11;Entregue
236;10/03/2024;28;NGK Brasil;7;290.19;2031.33;19;Entregue
237;21/03/2024;28;Bosch Distribuição;38;306.19;11635.22;5;Entregue
238;09/06/2024;28;Honda Peças;26;288.77;7508.02;20;Entregue
239;07/06/2024;28;NGK Brasil;16;294.16;4706.56;15;Entregue
240;12/06/2024;28;Bosch Distribuição;48;349.2;16761.6;20;Entregue
241;19/07/2024;28;Honda Peças;56;310.03;17361.68;15;Entregue
242;10/07/2024;28;Yamaha Parts;39;298.45;11639.55;16;Entregue
243;18/07/2024;28;Cofap Distrib;40;328.82;13152.8;13;Entregue
244;12/08/2024;28;Pirelli Brasil;48;321.99;15455.52;10;Entregue
245;01/09/2024;28;Honda Peças;49;308.91;15136.59;9;Entregue
246;22/09/2024;28;Pirelli Brasil;19;351.0;6669.0;20;Pendente
247;06/09/2024;28;Pirelli Brasil;47;298.29;14019.63;18;Entregue
248;10/10/2024;28;Bosch Distribuição;47;327.56;15395.32;3;Entregue
249;27/10/2024;28;Honda Peças;93;320.62;29817.66;12;Entregue
250;25/10/2024;28;Pirelli Brasil;17;343.6;5841.2;17;Entregue
251;09/11/2024;28;Magneti Marelli;69;343.64;23711.16;8;Entregue
252;05/11/2024;28;Cofap Distrib;39;344.32;13428.48;4;Entregue
253;12/12/2024;28;Honda Peças;38;332.17;12622.46;5;Entregue
254;03/12/2024;28;NGK Brasil;12;321.53;3858.36;19;Entregue
255;11/02/2024;29;Magneti Marelli;44;1920.17;84487.48;4;Entregue
256;21/02/2024;29;Cofap Distrib;67;1628.83;109131.61;4;Entregue
257;06/02/2024;29;NGK Brasil;55;1767.13;97192.15;7;Pendente
258;20/01/2024;30;Magneti Marelli;71;1226.01;87046.71;13;Entregue
259;12/01/2024;30;Pirelli Brasil;98;1217.52;119316.96;10;Entregue
260;28/02/2024;30;Pirelli Brasil;11;1159.24;12751.64;9;Entregue
261;18/02/2024;30;Honda Peças;96;1212.98;116446.08;13;Entregue
262;04/02/2024;30;Yamaha Parts;33;1321.92;43623.36;6;Entregue
263;28/04/2024;30;Pirelli Brasil;58;1323.47;76761.26;14;Entregue
264;08/04/2024;30;Pirelli Brasil;77;1228.87;94622.99;11;Entregue
265;15/05/2024;30;Magneti Marelli;41;1368.7;56116.7;10;Pendente
266;06/09/2024;30;Magneti Marelli;34;1310.28;44549.52;6;Entregue
267;13/09/2024;30;Honda Peças;29;1362.45;39511.05;11;Entregue
268;25/10/2024;30;Honda Peças;96;1297.44;124554.24;3;Entregue
269;25/10/2024;30;Bosch Distribuição;29;1159.39;33622.31;9;Entregue
270;23/10/2024;30;Pirelli Brasil;84;1370.3;115105.2;19;Entregue
271;20/12/2024;30;Magneti Marelli;61;1407.16;85836.76;11;Entregue
272;16/12/2024;30;Magneti Marelli;28;1190.79;33342.12;10;Entregue
273;20/12/2024;30;Yamaha Parts;48;1299.39;62370.72;20;Entregue
274;14/02/2024;31;Pirelli Brasil;70;1038.0;72660.0;18;Entregue
275;16/06/2024;31;Magneti Marelli;58;1054.13;61139.54;19;Entregue
276;03/10/2024;31;Honda Peças;8;1230.59;9844.72;8;Entregue
277;02/10/2024;31;Cofap Distrib;100;1100.01;110001.0;14;Entregue
278;12/11/2024;31;Yamaha Parts;7;1234.49;8641.43;15;Entregue
279;15/01/2024;32;Cofap Distrib;67;978.85;65582.95;12;Entregue
280;26/01/2024;32;Cofap Distrib;94;1028.76;96703.44;14;Entregue
281;20/05/2024;32;Pirelli Brasil;26;917.72;23860.72;14;Entregue
282;23/05/2024;32;Honda Peças;86;958.69;82447.34;14;Entregue
283;19/05/2024;32;Yamaha Parts;79;1030.67;81422.93;11;Entregue
284;03/06/2024;32;Pirelli Brasil;88;1059.53;93238.64;5;Entregue
285;05/07/2024;32;NGK Brasil;75;979.22;73441.5;9;Entregue
286;20/07/2024;32;Yamaha Parts;86;1094.47;94124.42;19;Entregue
287;04/07/2024;32;Honda Peças;32;996.78;31896.96;8;Entregue
288;02/10/2024;32;Pirelli Brasil;46;994.37;45741.02;14;Entregue
289;28/10/2024;32;Magneti Marelli;44;1080.25;47531.0;18;Entregue
290;06/10/2024;32;NGK Brasil;95;919.12;87316.4;17;Entregue
291;03/11/2024;32;Honda Peças;9;986.69;8880.21;15;Entregue
292;24/11/2024;32;Cofap Distrib;37;1012.64;37467.68;16;Cancelada
293;22/01/2024;33;Bosch Distribuição;5;1034.82;5174.1;4;Entregue
294;04/01/2024;33;Bosch Distribuição;29;1192.55;34583.95;7;Entregue
295;10/01/2024;33;Honda Peças;51;1217.79;62107.29;19;Pendente
296;18/03/2024;33;Pirelli Brasil;14;1122.11;15709.54;9;Entregue
297;23/03/2024;33;Magneti Marelli;6;1211.81;7270.86;4;Entregue
298;10/04/2024;33;Bosch Distribuição;32;1129.96;36158.72;3;Entregue
299;15/04/2024;33;Magneti Marelli;65;1091.66;70957.9;17;Entregue
300;23/04/2024;33;Yamaha Parts;68;1091.44;74217.92;17;Entregue
301;03/05/2024;33;Honda Peças;68;1034.94;70375.92;17;Entregue
302;02/05/2024;33;Cofap Distrib;64;1088.09;69637.76;19;Entregue
303;04/07/2024;33;NGK Brasil;49;1118.7;54816.3;9;Entregue
304;08/07/2024;33;Pirelli Brasil;20;1228.64;24572.8;5;Entregue
305;12/07/2024;33;Cofap Distrib;86;1111.7;95606.2;19;Entregue
306;08/03/2024;34;Magneti Marelli;43;711.07;30576.01;11;Entregue
307;06/03/2024;34;Yamaha Parts;88;781.18;68743.84;4;Entregue
308;22/03/2024;34;Cofap Distrib;76;729.94;55475.44;14;Entregue
309;10/05/2024;34;Bosch Distribuição;93;775.12;72086.16;6;Entregue
310;16/05/2024;34;Honda Peças;84;806.23;67723.32;3;Cancelada
311;14/05/2024;34;Bosch Distribuição;61;760.62;46397.82;20;Entregue
312;14/06/2024;34;Honda Peças;81;795.87;64465.47;19;Entregue
313;09/06/2024;34;Honda Peças;82;723.37;59316.34;5;Entregue
314;17/10/2024;34;Bosch Distribuição;52;757.11;39369.72;19;Entregue
315;03/10/2024;34;Cofap Distrib;78;818.67;63856.26;18;Cancelada
316;07/10/2024;34;Magneti Marelli;51;770.07;39273.57;11;Entregue
317;14/11/2024;34;NGK Brasil;61;709.9;43303.9;20;Entregue
318;17/12/2024;34;Cofap Distrib;7;719.09;5033.63;14;Entregue
319;06/12/2024;34;Pirelli Brasil;22;766.71;16867.62;20;Entregue
320;16/04/2024;35;Honda Peças;25;391.9;9797.5;18;Entregue
321;02/04/2024;35;Cofap Distrib;37;397.45;14705.65;12;Entregue
322;10/05/2024;35;Yamaha Parts;84;385.93;32418.12;20;Cancelada
323;19/05/2024;35;Honda Peças;80;430.79;34463.2;5;Entregue
324;06/10/2024;35;Magneti Marelli;50;378.69;18934.5;14;Entregue
325;07/10/2024;35;Cofap Distrib;31;387.8;12021.8;3;Entregue
326;03/10/2024;35;Magneti Marelli;45;371.75;16728.75;17;Entregue
327;16/11/2024;35;NGK Brasil;77;437.18;33662.86;18;Entregue
328;03/11/2024;35;Cofap Distrib;84;388.07;32597.88;7;Entregue
329;23/05/2024;36;Cofap Distrib;18;589.33;10607.94;3;Entregue
330;21/05/2024;36;NGK Brasil;92;613.45;56437.4;19;Entregue
331;19/06/2024;36;Bosch Distribuição;93;622.44;57886.92;18;Pendente
332;05/06/2024;36;Yamaha Parts;89;680.52;60566.28;8;Entregue
333;04/07/2024;36;Cofap Distrib;84;653.94;54930.96;4;Entregue
334;01/07/2024;36;Bosch Distribuição;30;580.84;17425.2;6;Entregue
335;23/08/2024;36;Honda Peças;17;660.91;11235.47;7;Entregue
336;12/08/2024;36;Bosch Distribuição;15;612.13;9181.95;16;Entregue
337;18/08/2024;36;NGK Brasil;69;609.26;42038.94;12;Entregue
338;14/09/2024;36;Pirelli Brasil;11;660.18;7261.98;5;Entregue
339;16/11/2024;36;Honda Peças;26;597.34;15530.84;16;Entregue
340;18/11/2024;36;Pirelli Brasil;7;603.26;4222.82;15;Entregue
341;18/04/2024;37;Pirelli Brasil;21;343.86;7221.06;12;Entregue
342;20/04/2024;37;Bosch Distribuição;87;311.03;27059.61;4;Pendente
343;22/05/2024;37;Bosch Distribuição;19;306.77;5828.63;14;Entregue
344;12/05/2024;37;Honda Peças;52;342.8;17825.6;18;Entregue
345;08/05/2024;37;Pirelli Brasil;33;323.79;10685.07;9;Entregue
346;21/06/2024;37;NGK Brasil;94;349.49;32852.06;15;Entregue
347;12/06/2024;37;Yamaha Parts;30;304.02;9120.6;18;Cancelada
348;24/07/2024;37;Pirelli Brasil;55;312.09;17164.95;18;Pendente
349;13/03/2024;38;Yamaha Parts;70;1411.74;98821.8;20;Entregue
350;02/04/2024;38;Cofap Distrib;19;1611.65;30621.35;3;Entregue
351;01/04/2024;38;Honda Peças;77;1621.87;124883.99;14;Entregue
352;13/04/2024;38;Magneti Marelli;67;1558.88;104444.96;18;Entregue
353;22/06/2024;38;Cofap Distrib;81;1677.68;135892.08;3;Entregue
354;16/06/2024;38;Pirelli Brasil;27;1566.63;42299.01;4;Entregue
355;01/08/2024;38;Magneti Marelli;6;1629.35;9776.1;15;Entregue
356;13/08/2024;38;Pirelli Brasil;26;1669.5;43407.0;3;Entregue
357;17/09/2024;38;Honda Peças;7;1434.98;10044.86;10;Entregue
358;11/09/2024;38;Cofap Distrib;45;1536.66;69149.7;17;Entregue
359;08/10/2024;38;Bosch Distribuição;65;1492.93;97040.45;14;Entregue
360;23/10/2024;38;Yamaha Parts;81;1438.79;116541.99;8;Entregue
361;16/01/2024;39;NGK Brasil;90;602.02;54181.8;10;Entregue
362;23/02/2024;39;Pirelli Brasil;13;530.25;6893.25;3;Entregue
